etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
119    | ... | ... | ... | ... | ... | ... | ... | #ɡˌɒstˈɪ̃nɪsɪkɑ# | *#ɡˌɒstˈɪ̃nɪsɪkɑ# | *#ɡˌastˈɪː̃skə# {GOLD: >*} | *#ɡˌastˈɪː̃skə# | *#ɡəstˈɪskə# | *#ɡəstˈɪskə# | *#ɡəstˈɪskə# {GOLD: #ɡɔstˈənt͡skə#}
120    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡˌɒstˈitɪ# | *#ɡˌastˈit# {GOLD: >*} | *#ɡˌastˈit# | *#ɡəstˈit# | *#ɡəstˈit# | *#ɡəstˈit# {GOLD: #ɡɔstˈit#}
121    | ... | ... | ... | ... | ... | ... | #ɡˌɒrɪnˈit͡sɑ# | *#ɡˌɒrɪnˈit͡sɑ# | *#ɡˌɒrɪnˈit͡sɑ# | *#ɡˌarnˈiːt͡sə# {GOLD: >*} | *#ɡˌarˈiːt͡sə# | *#ɡərˈit͡sə# | *#ɡərˈit͡sə# | *#ɡərˈit͡sə# {GOLD: #ɡɔrˈit͡sə#}
122    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡˌɒmˈilɑ# | *#ɡˌãmˈiːlə# {GOLD: >*} | *#ɡˌə̃mˈiːlə# | *#ɡəmˈilə# | *#ɡəmˈilə# | *#ɡəmˈilə# {GOLD: #ɡɔmˈilə#}
123    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡˌɒ̃bˈɛlɪ# | *#ɡˌãbˈɛːl# {GOLD: >*} | *#ɡˌə̃bˈɛːl# | *#ɡəbˈɛl# | *#ɡəbˈɛl# | *#ɡəbˈɛl# {GOLD: #ɡɔmbˈɛl#}
124    | ... | ... | ... | ... | ... | ... | #ɡwˈɒzdɑ# | *#ɡwˈɒzdɑ# | *#ɡwˈɒzdɑ# | *#ɡvˈaːzdə# {GOLD: >*} | *#ɡvˈaːzdə# | *#ɡvˈazdə# | *#ɡvˈazdə# | *#ɡvˈazdə# {GOLD: #ɡˈɔʒdə#}
125    | ... | ... | ... | ... | ... | ... | #ɡˌɒlwɪnˈikʊ# | *#ɡˌɒlwɪnˈikʊ# | *#ɡˌɒlwɪnˈikʊ# | *#ɡˌalvnˈik# {GOLD: >*} | *#ɡˌalvnˈik# | *#ɡəlvnˈik# | *#ɡəlvnˈik# | *#ɡəlvnˈik# {GOLD: #ɡlˠanˈik#}
126    | ... | ... | ... | ... | ... | ... | #ɡˌɒlwˈinɑ# | *#ɡˌɒlwˈinɑ# | *#ɡˌɒlwˈinɑ# | *#ɡˌalvˈĩːnə# {GOLD: >*} | *#ɡˌalvˈĩːɾə# | *#ɡəlvˈiɾə# | *#ɡəlvˈiɾə# | *#ɡəlvˈiɾə# {GOLD: #ɡlˠavˈinə#}
127    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡrˌɑʃˈinɑ# | *#ɡrˌaʃˈĩːnə# {GOLD: >*} | *#ɡɾˌaʃˈĩːɾə# | *#ɡɾəʃˈiɾə# | *#ɡɾəʃˈiɾə# | *#ɡɾəʃˈiɾə# {GOLD: #ɡɾaʃˈinə#}
128    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡrˌɑdˈinɑ# | *#ɡrˌadˈĩːnə# {GOLD: >*} | *#ɡɾˌadˈĩːɾə# | *#ɡɾədˈiɾə# | *#ɡɾədˈiɾə# | *#ɡɾədˈiɾə# {GOLD: #ɡɾadˈinə#}
129    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡrˌɑbˈitɪ# | *#ɡrˌabˈit# {GOLD: >*} | *#ɡɾˌabˈit# | *#ɡɾəbˈit# | *#ɡɾəbˈit# | *#ɡɾəbˈit# {GOLD: #ɡɾabˈit#}
130    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡrˈɑdɑ# | *#ɡrˈadə# {GOLD: >*} | *#ɡɾˈadə# | *#ɡɾˈadə# | *#ɡɾˈadə# | *#ɡɾˈadə# {GOLD: #ɡɾˈadə#}
131    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡrˌɛbˈɑʃɪ# | *#ɡrˌɛbˈaːʃ# {GOLD: >*} | *#ɡɾˌɛbˈaːʃ# | *#ɡɾəbˈaʃ# | *#ɡɾəbˈaʃ# | *#ɡɾəbˈaʃ# {GOLD: #ɡɾɛbˈaʃ#}
132    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡˈɒrʃɪ# | *#ɡˈaːrʃ# {GOLD: >*} | *#ɡˈaːɾʃ# | *#ɡˈaɾʃ# | *#ɡˈaɾʃ# | *#ɡˈaɾʃ# {GOLD: #ɡɾˈɔʃ#}
133    | ... | ... | ... | ... | ... | ... | #ɡrˈɒzdɪlɪ# | *#ɡrˈɒzdɪlɪ# | *#ɡrˈɒzdɪlɪ# | *#ɡrˈaːzdl# {GOLD: >*} | *#ɡɾˈaːzdl# | *#ɡɾˈazdl# | *#ɡɾˈazdl# | *#ɡɾˈazdl# {GOLD: #ɡɾˈɔʒəl#}
