etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
40     | ... | ... | ... | ... | ... | ... | ... | ... | #xˌukˈɑtɪ# | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# {GOLD: >*} | *#hukˈat# {GOLD: >*} | *#hukˈat# {GOLD: #hukˈat#}
41     | ... | ... | ... | ... | #ˌɑltˈɑːre# | *#ˌɑltˈɑre# | *#əltˈerɪ# | *#əltˈeɾɪ# | *#əltˈɛːɾə# | *#əltˈɛːɾ# {GOLD: #l̩tˈɛːɾ#} | *#əltˈɛːɾ# {GOLD: >*} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#}
42     | ... | ... | ... | #ˌɑrɡˈentum# | *#ˌɑrɡˈɛntʊ# | *#ˌɑrɡˈɛntu# | *#ərɟˈɛntu# | *#əɾɟˈɛ̃ntu# | *#əɾɟˈɛ̃ndə# | *#əɾɟˈɛ̃nd# {GOLD: #ɾ̩ɟˈẽnt#} | *#əɾɟˈɛ̃nd# {GOLD: >*} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈɛnd#} | *#əɾɟˈɛnd# {GOLD: #əɾɟˈɛnd#}
43     | ... | ... | ... | ... | ... | ... | ... | #ˌarsˈɛnɪka# | *#ˌarsˈɛnɡa# | *#ˌaɾsˈɛŋɡə# {GOLD: >*} | *#ˌaɾsˈɛŋɡə# {GOLD: >*} | *#aɾsˈɛŋɡə# {GOLD: >*} | *#aɾsˈɛŋɡə# {GOLD: #əɾsˈiŋɡə#}
44     | ... | ... | ... | ... | ... | ... | #ˈɑnɡɛlu# | *#ˈɑ̃nɟɛlu# | *#ˈɑ̃nɟəlˠə# | *#ˈãɲɟ?0# {GOLD: >*} | *#ˈə̃ɲɟ?0# {GOLD: >*} | *#ˈəɲɟ?0# {GOLD: >*} | *#ˈəɲɟəlˠ# {GOLD: #ˈəɲɟəlˠ#}
45     | ... | ... | ... | ... | #ˈɑɡrion# | *#ˈɑɡrion# | *#ˈeɡrɪon# | *#ˈeɡɾɪ̃n# | *#ˈɛɡɾə̃# | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡəɾ# {GOLD: #ˈɛɡəɾ#}
46     | ... | ... | ... | ... | #ˈɑnɡɛlu# | *#ˈɑnɡɛlu# | *#ˈenɟɪlu# | *#ˈẽnɟɪlu# | *#ˈɛ̃nɟəlˠə# | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛ̃ɲɟ?0# {GOLD: >*} | *#ˈɛɲɟ?0# {GOLD: >*} | *#ˈɛɲɟəlˠ# {GOLD: #ˈɛɲɟəlˠ#}
47     | ... | ... | ... | #ˈeːskɑm# | *#ˈeːskɑ# | *#ˈeskɑ# | *#ˈeska# | *#ˈeʃka# | *#ˈɛːʃka# | *#ˈɛːʃkə# {GOLD: >*} | *#ˈɛːʃkə# {GOLD: >*} | *#ˈɛʃkə# {GOLD: >*} | *#ˈɛʃkə# {GOLD: #ˈɛʃkə#}
48     | ... | ... | #ɦˌaːˈera# | *#ˌɒːˈerɑ# | *#ˌɒːˈɛrɑ# | *#ˌoˈɛrɑ# | *#ˌoːˈɛra# | *#ˌɔːˈɛɾa# | *#ˌɔːˈɛːɾa# | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛɾə# {GOLD: >*} | *#ˈɛɾə# {GOLD: #ˈɛɾə#}
49     | ... | ... | ... | #ˈɑmitɑm# | *#ˈɑmɪtɑ# | *#ˈɑmetɑ# | *#ˈemɪta# | *#ˈẽmɪta# | *#ˈɛ̃mta# | *#ˈɛ̃mtə# {GOLD: #ˈæ̃mətə#} | *#ˈɛ̃mtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: >*} | *#ˈɛmtə# {GOLD: #ˈɛmtə#}
