etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
10     | #ˌae̯stimˈɑːnioː# | *#ˌɛstimˈɑːɲoː# | *#ˌɛstemˈɑɲø# | *#stəmˈɑɲɛ# | *#ʃtəmˈɑɲɛ# | *#ʃtəmˈɑɲɛ# | *#ʃtə̃mˈãːɲ# {GOLD: >*} | *#ʃtə̃mˈəːɲ# {GOLD: >*} | *#ʃtəmˈəɲ# {GOLD: #ʃmˈɔɲ#} | *#t͡ʃtəmˈəɲ# | *#t͡ʃtəmˈəɲ# {GOLD: #t͡ʃmˈɔj#}
11     | #ˈae̯tɑːtɑ# | *#ˈɛtətɑ# | *#ˈɛttɑ# | *#jˈɛttɑ# | *#jˈɛttɑ# | *#jˈɛttɑ# | *#jˈɛttə# {GOLD: >*} | *#jˈɛttə# {GOLD: >*} | *#jˈɛttə# {GOLD: >*} | *#jˈɛttə# | *#jˈɛttə# {GOLD: #jˈɛtə#}
12     | #ˌɑːkˈinɡulum# | *#ˌɑːkˈinɡəlːu# | *#ˌɑkˈenɡlːu# | *#kˈɛnɡlːu# | *#cˈɛnɡlːu# | *#cˈɛnɡlːu# | *#cˈɛ̃ːnɡlː# {GOLD: >*} | *#cˈɛ̃ːnɡlˠ# {GOLD: #cˈĩɲɟ#} | *#cˈɛnɡlˠ# {GOLD: >*} | *#cˈɛnɡlˠ# | *#t͡ʃˈɛnɡlˠ# {GOLD: #cˈɛɲɟ#}
13     | #ˌɑkkˈipitum# | *#ˌɑkkˈipətu# | *#ˌɑkkˈeptu# | *#kkˈɛptu# | *#kcˈɛftu# | *#kcˈɛftu# | *#kcˈɛːft# {GOLD: >*} | *#kcˈɛːft# {GOLD: >*} | *#kcˈɛft# {GOLD: >*} | *#kcˈɛft# | *#kt͡ʃˈɛft# {GOLD: #cˈift#}
14     | #ˌɑkkˈipitrem# | *#ˌɑkkˈipətre# | *#ˌɑkkˈeptrɛ# | *#kkˈiptrɛ# | *#kcˈiftrɛ# | *#kcˈiftrɛ# | *#kcˈiːftr# {GOLD: >*} | *#kcˈiːftɾ# {GOLD: >*} | *#kcˈiftɾ# {GOLD: >*} | *#kcˈiftɾ# | *#kt͡ʃˈiftɾ# {GOLD: #cˈiftəɾ#}
15     | #ˌoksˈunɡiɑ# | *#ˌoksˈuɲjɑ# | *#ˌoksˈuɲjɑ# | *#ksˈyɲjɑ# | *#fʃˈyɲjɑ# | *#fʃˈyɲjɑ# | *#fʃˈỹːɲɛ# {GOLD: #aʃˈũɲə#} | *#fʃˈỹːɲɛ# {GOLD: #uʃˈũɲə#} | *#fʃˈyɲɛ# {GOLD: #uʃˈuɲə#} | *#fʃˈyɲɛ# | *#fʃˈyɲɛ# {GOLD: #uʃˈuɲə#}
16     | #ˈɑlbɑnum# | *#ˈɑlbənu# | *#ˈɑlbnu# | *#ˈɑlbnu# | *#ˈɑlbnu# | *#ˈɑlbnu# | *#hˈaːlbn# {GOLD: #ˈaɾbə̃ɾ̃ə#} | *#hˈaːlbn# {GOLD: >*} | *#hˈalbn# {GOLD: >*} | *#hˈalbn# | *#hˈalbn# {GOLD: #ˈaɾbəɾ#}
17     | #ˌɑlbɑːnˈensum# | *#ˌɑlbɑːnˈeːsu# | *#ˌɑlbɑnˈisu# | *#əlbənˈisu# | *#əlbənˈiʃu# | *#əlbənˈiʃu# | *#həlbə̃nˈiːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#həlbə̃ɾˈiːʃ# {GOLD: >*} | *#həlbəɾˈiʃ# {GOLD: >*} | *#həlbəɾˈiʃ# | *#həlbəɾˈiʃ# {GOLD: #aɾbəɾˈɛʃ#}
18     | #ˈɑlium# | *#ˈɑʎu# | *#ˈɑʎu# | *#ˈɛʎu# | *#ˈɛʎu# | *#ˈɛʎu# | *#hˈɛːʎ# {GOLD: >*} | *#hˈɛːʎ# {GOLD: >*} | *#hˈɛj# {GOLD: >*} | *#hˈɛj# | *#hˈɛj# {GOLD: #ˈaj#}
19     | ... | ... | ... | *#əlləɡərˈiɑ# | *#əlləɡərˈiɑ# | *#əlləɡərˈiɑ# | *#həllɡərˈiː# {GOLD: #ləɡɔɾˈi#} | *#həllɡəɾˈiː# {GOLD: >*} | *#həllɡəɾˈi# {GOLD: >*} | *#həllɡəɾˈi# | *#həllɡəɾˈi# {GOLD: #lɔɡɔɾˈi#}
20     | ... | ... | *#ˌɑltˈɑrɛ# | *#əltˈie̯rɛ# | *#əltˈie̯rɛ# | *#əltˈie̯rɛ# | *#həltˈie̯r# {GOLD: #l̩tˈɛːɾ#} | *#həltˈie̯ɾ# {GOLD: >*} | *#həltˈie̯ɾ# {GOLD: #əltˈɛɾ#} | *#həltˈie̯ɾ# | *#həltˈie̯ɾ# {GOLD: #əltˈɛɾ#}
21     | #ˌɑmbipˌɑtˈiːnum# | *#ˌɑmbipˌɑtˈiːnu# | *#ˌɑmbepˌɑtˈinu# | *#əmbəpətˈinu# | *#əmbəpətˈinu# | *#əmbəpətˈinu# | *#hə̃mbəpətˈĩː# {GOLD: #mpətˈĩː#} | *#hə̃mbəpətˈĩː# {GOLD: >*} | *#həmbəpətˈi# {GOLD: >*} | *#həmbəpətˈi# | *#həmbəpətˈi# {GOLD: #mtˈi#}
22     | #ˌɑmbulˈɑːnioː# | *#ˌɑmbulːˈɑːɲoː# | *#ˌɑmbulːˈɑɲø# | *#əmbəlːˈɑɲɛ# | *#əmbəlːˈɑɲɛ# | *#əmbəlːˈɑɲɛ# | *#hə̃mbəlːˈãːɲ# {GOLD: #m̩bəlˠˈɔ̃ɲ#} | *#hə̃mbəlˠˈəːɲ# {GOLD: >*} | *#həmbəlˠˈəɲ# {GOLD: >*} | *#həmbəlˠˈəɲ# | *#həmbəlˠˈəɲ# {GOLD: #mbalˠˈɔj#}
23     | #ˌɑmˈɑndolɑ# | *#ˌɑmˈɑndəlːɑ# | *#ˌɑmˈɑndlːɑ# | *#mˈɑndlːɑ# | *#mˈɑndlːɑ# | *#mˈɑndlːɑ# | *#mˈãːndlːə# {GOLD: >*} | *#mˈəːndlˠə# {GOLD: >*} | *#mˈəndlˠə# {GOLD: >*} | *#mˈəndlˠə# | *#mˈənlˠə# {GOLD: #mˈɛndulˠ#}
24     | #ˌɑmˈiːkum# | *#ˌɑmˈiːku# | *#ˌɑmˈiku# | *#mˈiku# | *#mˈiku# | *#mˈiku# | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: >*} | *#mˈik# {GOLD: >*} | *#mˈik# | *#mˈik# {GOLD: #mˈik#}
25     | #ˈɑmitɑm# | *#ˈɑmətɑ# | *#ˈɑmtɑ# | *#ˈɑmtɑ# | *#ˈɑmtɑ# | *#ˈɑmtɑ# | *#hˈãːmtə# {GOLD: #ˈæ̃mətə#} | *#hˈəːmtə# {GOLD: >*} | *#hˈəmtə# {GOLD: >*} | *#hˈəmtə# | *#hˈəmtə# {GOLD: #ˈɛmtə#}
26     | #ˌɑmˈurɡɑ# | *#ˌɑmˈurɡɑ# | *#ˌɑmˈurɡɑ# | *#mˈurɡɑ# | *#mˈurɡɑ# | *#mˈurɡɑ# | *#mˈuːrɡə# {GOLD: #mˈuɾɡə#} | *#mˈuːɾɡə# {GOLD: >*} | *#mˈuɾɡə# {GOLD: >*} | *#mˈuɾɡə# | *#mˈuɾɡə# {GOLD: #mˈuɾɡə#}
27     | ... | ... | ... | ... | *#ˈɑnɟɛlu# | *#ˈɑnɟɛlu# | *#hˈãːnɟɛl# {GOLD: >*} | *#hˈəːnɟɛl# {GOLD: >*} | *#hˈənɟɛl# {GOLD: >*} | *#hˈənɟɛl# | *#hˈənɟɛl# {GOLD: #ˈəɲɟəlˠ#}
28     | ... | ... | *#ˈɑnɡɛlu# | *#ˈɛnɡɛlu# | *#ˈɛnɟɛlu# | *#ˈɛnɟɛlu# | *#hˈɛ̃ːnɟɛl# {GOLD: >*} | *#hˈɛ̃ːnɟɛl# {GOLD: >*} | *#hˈɛnɟɛl# {GOLD: >*} | *#hˈɛnɟɛl# | *#hˈɛnɟɛl# {GOLD: #ˈɛɲɟəlˠ#}
