etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
277    | #iˈɑːnuum# | *#ɟˈɑːnwu# | *#ɟˈɑnwu# | *#ɟˈɑnwu# | *#ɟˈɑnwu# | *#ɟˈɑnwu# | *#ɟˈãːv# {GOLD: #ɟˈuo̯#} | *#ɟˈəːv# {GOLD: >*} | *#ɟˈəv# {GOLD: >*} | *#ɟˈəv# | *#ɟˈəv# {GOLD: #ɟˈua̯#}
278    | ... | ... | ... | *#jənnwˈɛrju# | *#jənnwˈɛrju# | *#jənnwˈɛrju# | *#jə̃nnvˈɛːrj# {GOLD: >*} | *#jə̃nnvˈɛːɾj# {GOLD: >*} | *#jənnvˈɛɾj# {GOLD: >*} | *#jənnvˈɛɾj# | *#jənnvˈɛɾj# {GOLD: #janˈaɾ#}
279    | #iˌeiuːnˈɑːnioː# | *#ɟjjuːnˈɑːɲoː# | *#ɟjjynˈɑɲø# | *#ɟjjənˈɑɲɛ# | *#ɟjjənˈɑɲɛ# | *#ɟjjənˈɑɲɛ# | *#ɟjjə̃nˈãːɲ# {GOLD: #ɟˌỹɾ̃ˈɔ̃ɲ#} | *#ɟjjə̃ɾˈəːɲ# {GOLD: >*} | *#ɟjjəɾˈəɲ# {GOLD: >*} | *#ɟjjəɾˈəɲ# | *#ɟjjəɾˈəɲ# {GOLD: #ɟəɾˈɔj#}
280    | ... | ... | ... | *#kˈɔnɑ# | *#kˈɔnɑ# | *#kˈɔnɑ# | *#kˈɔ̃ːnə# {GOLD: >*} | *#kˈɔ̃ːɾə# {GOLD: >*} | *#kˈɔɾə# {GOLD: >*} | *#kˈɔɾə# | *#kˈɔɾə# {GOLD: #kˈɔɾə#}
281    | #ˈiːliɑ# | *#ˈiːʎɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#hˈiːʎə# {GOLD: >*} | *#hˈiːʎə# {GOLD: >*} | *#hˈijə# {GOLD: >*} | *#hˈijə# | *#hˈijə# {GOLD: #ˈijə#}
282    | #ˈiːlikem# | *#ˈiːʎəke# | *#ˈiʎkɛ# | *#ˈiʎkɛ# | *#ˈiʎcɛ# | *#ˈiʎcɛ# | *#hˈiːʎc# {GOLD: >*} | *#hˈiːʎc# {GOLD: >*} | *#hˈijc# {GOLD: >*} | *#hˈijc# | *#hˈijt͡ʃ# {GOLD: #ˈilc#}
283    | #ˌiːlikˈeːtum# | *#ˌiːʎikˈeːtu# | *#ˌiʎekˈetu# | *#ʎəkˈɛtu# | *#ʎəcˈɛtu# | *#ʎəcˈɛtu# | *#ʎcˈɛt# {GOLD: >*} | *#ʎcˈɛt# {GOLD: >*} | *#jcˈɛt# {GOLD: >*} | *#jcˈɛt# | *#jt͡ʃˈɛt# {GOLD: #ilcˈɛt#}
284    | #ˌimpɑrˈɑːnioː# | *#ˌimpɑrˈɑːɲoː# | *#ˌempɑrˈɑɲø# | *#əmpərˈɑɲɛ# | *#əmbərˈɑɲɛ# | *#əmbərˈɑɲɛ# | *#hə̃mbərˈãːɲ# {GOLD: >*} | *#hə̃mbəɾˈəːɲ# {GOLD: >*} | *#həmbəɾˈəɲ# {GOLD: >*} | *#həmbəɾˈəɲ# | *#həmbəɾˈəɲ# {GOLD: #mbɾˈɔj#}
285    | #ˌimpˈedikɑm# | *#ˌimpˈedəkɑ# | *#ˌempˈɛdkɑ# | *#əmpjˈɛdkɑ# | *#əmbjˈɛtkɑ# | *#əmbjˈɛtkɑ# | *#hə̃mbjˈɛtkə# {GOLD: >*} | *#hə̃mbjˈɛtkə# {GOLD: #pˈɛːŋɡə#} | *#həmbjˈɛtkə# {GOLD: >*} | *#həmbjˈɛtkə# | *#həmbjˈɛtkə# {GOLD: #pˈɛŋɡə#}
286    | #ˌimpˌerɑːtˈissɑm# | *#ˌimpˌerɑːtˈissɑ# | *#ˌempˌɛrɑtˈessɑ# | *#əmpərətˈɛssɑ# | *#əmbərətˈɛʃʃɑ# | *#əmbərətˈɛʃʃɑ# | *#hə̃mbərtˈɛːʃʃə# {GOLD: >*} | *#hə̃mbəɾtˈɛːʃʃə# {GOLD: >*} | *#həmbəɾtˈɛʃʃə# {GOLD: >*} | *#həmbəɾtˈɛt͡ʃʃə# | *#həmbəɾtˈɛt͡ʃʃə# {GOLD: #pɛɾəndˈɛʃə#}
287    | #ˌimpˌerˌɑːtˈoːrem# | *#ˌimpˌerˌɑːtˈoːre# | *#ˌempˌɛrˌɑtˈorɛ# | *#əmpərətˈye̯rɛ# | *#əmbərətˈye̯rɛ# | *#əmbərətˈye̯rɛ# | *#hə̃mbərtˈye̯r# {GOLD: >*} | *#hə̃mbəɾtˈye̯ɾ# {GOLD: >*} | *#həmbəɾtˈye̯ɾ# {GOLD: >*} | *#həmbəɾtˈye̯ɾ# | *#həmbəɾtˈye̯ɾ# {GOLD: #pɛɾəndˈua̯ɾ#}
288    | #ˌimperˌɑːtoːrˈissɑm# | *#ˌimperˌɑːtoːrˈissɑ# | *#ˌempɛrˌɑtørˈessɑ# | *#əmpərətərˈɛssɑ# | *#əmbərətərˈɛʃʃɑ# | *#əmbərətərˈɛʃʃɑ# | *#hə̃mbərtərˈɛːʃʃə# {GOLD: >*} | *#hə̃mbəɾtəɾˈɛːʃʃə# {GOLD: >*} | *#həmbəɾtəɾˈɛʃʃə# {GOLD: >*} | *#həmbəɾtəɾˈɛt͡ʃʃə# | *#həmbəɾtəɾˈɛt͡ʃʃə# {GOLD: #mbɾɛtəɾˈɛʃə#}
289    | #ˌimperˈɑːtum# | *#ˌimperˈɑːtu# | *#ˌempɛrˈɑtu# | *#əmpərˈɑtu# | *#əmbərˈɑtu# | *#əmbərˈɑtu# | *#hə̃mbərˈat# {GOLD: #m̩pəɾˈɛt#} | *#hə̃mbəɾˈat# {GOLD: >*} | *#həmbəɾˈat# {GOLD: >*} | *#həmbəɾˈat# | *#həmbəɾˈat# {GOLD: #mbɾˈɛt#}
290    | ... | ... | *#ˌempɛrˈɑtor# | *#əmpərˈɑtɔr# | *#əmbərˈɑtɔr# | *#əmbərˈɑtɔr# | *#hə̃mbərˈatɔr# {GOLD: >*} | *#hə̃mbəɾˈatɔɾ# {GOLD: >*} | *#həmbəɾˈatɔɾ# {GOLD: >*} | *#həmbəɾˈatɔɾ# | *#həmbəɾˈatɔɾ# {GOLD: #mbɾˈɛtəɾ#}
291    | #ˌimplˌɑntˈɑːnioː# | *#ˌimplˌɑntˈɑːɲoː# | *#ˌemplˌɑntˈɑɲø# | *#əmpləntˈɑɲɛ# | *#əmbləndˈɑɲɛ# | *#əmbləndˈɑɲɛ# | *#hə̃mblə̃ndˈãːɲ# {GOLD: >*} | *#hə̃mblə̃ndˈəːɲ# {GOLD: >*} | *#həmbləndˈəɲ# {GOLD: >*} | *#həmbləndˈəɲ# | *#həmblənˈəɲ# {GOLD: #mbəltˈɔj#}
292    | #ˌimplˈeːnioː# | *#ˌimplˈeːɲoː# | *#ˌemplˈeɲø# | *#əmplˈɛɲɛ# | *#əmblˈɛɲɛ# | *#əmblˈɛɲɛ# | *#hə̃mblˈɛ̃ːɲ# {GOLD: >*} | *#hə̃mblˈɛ̃ːɲ# {GOLD: >*} | *#həmblˈɛɲ# {GOLD: >*} | *#həmblˈɛɲ# | *#həmblˈɛɲ# {GOLD: #mblˈɔj#}
293    | #ˌimmˈuːne# | *#ˌimmˈuːne# | *#ˌemmˈynɛ# | *#əmmˈynɛ# | *#əmmˈynɛ# | *#əmmˈynɛ# | *#hə̃mmˈỹː# {GOLD: #mˈũː#} | *#hə̃mmˈỹː# {GOLD: >*} | *#həmmˈy# {GOLD: >*} | *#həmmˈy# | *#həmmˈy# {GOLD: #mˈu#}
294    | #ˌinˈɑltɑ# | *#ˌinˈɑltɑ# | *#ˌenˈɑltɑ# | *#nˈɑltɑ# | *#nˈɑltɑ# | *#nˈɑltɑ# | *#nˈaːltə# {GOLD: #nˈaltə#} | *#nˈaːltə# {GOLD: >*} | *#nˈaltə# {GOLD: #nˈaltə#} | *#nˈaltə# | *#nˈaltə# {GOLD: #nˈaltə#}
295    | #ˌinˌɑltiˈɑːnioː# | *#ˌinˌɑltjˈɑːɲoː# | *#ˌenˌɑltjˈɑɲø# | *#nəltjˈɑɲɛ# | *#nəl?1ˈɑɲɛ# | *#nəl?1ˈɑɲɛ# | *#nəl?1ˈãːɲ# {GOLD: >*} | *#nəl?1ˈəːɲ# {GOLD: >*} | *#nəl?1ˈəɲ# {GOLD: #nalt͡sˈɔɲ#} | *#nəl?1ˈəɲ# | *#nəl?1ˈəɲ# {GOLD: #nalt͡sˈɔj#}
296    | #ˌinˈɑltum# | *#ˌinˈɑltu# | *#ˌenˈɑltu# | *#nˈɑltu# | *#nˈɑltu# | *#nˈɑltu# | *#nˈaːlt# {GOLD: #nˈalt#} | *#nˈaːlt# {GOLD: >*} | *#nˈalt# {GOLD: >*} | *#nˈalt# | *#nˈalt# {GOLD: #nˈalt#}
297    | #ˌinˌɑwritˈɑːnioː# | *#ˌinˌɑwritˈɑːɲoː# | *#ˌenˌɑwretˈɑɲø# | *#nərətˈɑɲɛ# | *#nərətˈɑɲɛ# | *#nərətˈɑɲɛ# | *#nərtˈãːɲ# {GOLD: >*} | *#nəɾtˈəːɲ# {GOLD: >*} | *#nɾtˈəɲ# {GOLD: >*} | *#nɾtˈəɲ# | *#nɾtˈəɲ# {GOLD: #naɾtˈɔj#}
298    | #inbˌoreˈɑːnum# | *#inbˌorjˈɑːnu# | *#enbˌorjˈɑnu# | *#ənbərjˈɑnu# | *#ənbərjˈɑnu# | *#ənbərjˈɑnu# | *#hə̃nbərjˈãː# {GOLD: #murˈɑ̃ː#} | *#hə̃nbəɾjˈəː# {GOLD: >*} | *#hənbəɾjˈə# {GOLD: >*} | *#hənbəɾjˈə# | *#hənbəɾjˈə# {GOLD: #mˈurə#}
299    | #ˌindˌeːspikˈɑːnioː# | *#ˌindˌeːspikˈɑːɲoː# | *#ˌendˌispekˈɑɲø# | *#əndəspəkˈɑɲɛ# | *#əndəʃpəkˈɑɲɛ# | *#əndəʃpəkˈɑɲɛ# | *#hə̃ndəʃpəkˈãːɲ# {GOLD: #n̩diʃkˈɔ̃ɲ#} | *#hə̃ndəʃpəkˈəːɲ# {GOLD: >*} | *#həndəʃpəkˈəɲ# {GOLD: >*} | *#həndət͡ʃpəkˈəɲ# | *#hənət͡ʃpəkˈəɲ# {GOLD: #ndəʃkˈɔj#}
300    | #ˌindˌiːkˈɑːnioː# | *#ˌindˌiːkˈɑːɲoː# | *#ˌendˌikˈɑɲø# | *#əndəkˈɑɲɛ# | *#əndəkˈɑɲɛ# | *#əndəkˈɑɲɛ# | *#hə̃ndəkˈãːɲ# {GOLD: >*} | *#hə̃ndəkˈəːɲ# {GOLD: >*} | *#həndəkˈəɲ# {GOLD: >*} | *#həndəkˈəɲ# | *#hənəkˈəɲ# {GOLD: #ndikˈɔj#}
301    | #ˌindˌikˈonioː# | *#ˌindˌikˈoɲoː# | *#ˌendˌekˈoɲø# | *#əndəkˈɔɲɛ# | *#əndəkˈɔɲɛ# | *#əndəkˈɔɲɛ# | *#hə̃ndəkˈɔ̃ːɲ# {GOLD: >*} | *#hə̃ndəkˈɔ̃ːɲ# {GOLD: >*} | *#həndəkˈɔɲ# {GOLD: >*} | *#həndəkˈɔɲ# | *#hənəkˈɔɲ# {GOLD: #dəkˈɔj#}
302    | #ˌindˌiktˈɑːnioː# | *#ˌindˌiktˈɑːɲoː# | *#ˌendˌejtˈɑɲø# | *#əndəjtˈɑɲɛ# | *#əndəjtˈɑɲɛ# | *#əndəjtˈɑɲɛ# | *#hə̃ndəjtˈãːɲ# {GOLD: >*} | *#hə̃ndəjtˈəːɲ# {GOLD: >*} | *#həndəjtˈəɲ# {GOLD: >*} | *#həndəjtˈəɲ# | *#hənəjtˈəɲ# {GOLD: #dəftˈɔj#}
303    | #ˌindˌireːktˈɑːnioː# | *#ˌindˌireːktˈɑːɲoː# | *#ˌendˌerejtˈɑɲø# | *#əndərəjtˈɑɲɛ# | *#əndərəjtˈɑɲɛ# | *#əndərəjtˈɑɲɛ# | *#hə̃ndərəjtˈãːɲ# {GOLD: >*} | *#hə̃ndəɾəjtˈəːɲ# {GOLD: >*} | *#həndəɾəjtˈəɲ# {GOLD: >*} | *#həndəɾəjtˈəɲ# | *#hənəɾəjtˈəɲ# {GOLD: #ndəɾtˈɔj#}
304    | #ˌindˌirˈeːktioː# | *#ˌindˌirˈeːktjoː# | *#ˌendˌerˈejtjø# | *#əndərˈijtjɛ# | *#əndərˈij?1ɛ# | *#əndərˈij?1ɛ# | *#hə̃ndərˈij?1# {GOLD: #n̩dəɾˈɛc#} | *#hə̃ndəɾˈij?1# {GOLD: >*} | *#həndəɾˈij?1# {GOLD: >*} | *#həndəɾˈij?1# | *#hənəɾˈij?1# {GOLD: #ndɾˈɛc#}
305    | ... | ... | *#ˌendˌoʎˈeɲø# | *#əndəʎˈɛɲɛ# | *#əndəʎˈɛɲɛ# | *#əndəʎˈɛɲɛ# | *#hə̃ndəʎˈɛ̃ːɲ# {GOLD: #n̩dəʎˈɛ̃ɲ#} | *#hə̃ndəʎˈɛ̃ːɲ# {GOLD: >*} | *#həndəjˈɛɲ# {GOLD: #ndəʎˈɛɲ#} | *#həndəjˈɛɲ# | *#hənəjˈɛɲ# {GOLD: #ndjˈɛj#}
306    | #ˌinfˌɑskiˈɑːnioː# | *#ˌiːfˌɑskjˈɑːɲoː# | *#ˌifˌɑskjˈɑɲø# | *#fəskjˈɑɲɛ# | *#fəʃcjˈɑɲɛ# | *#fəʃcjˈɑɲɛ# | *#fəʃcjˈãːɲ# {GOLD: >*} | *#fəʃcjˈəːɲ# {GOLD: >*} | *#fəʃcjˈəɲ# {GOLD: >*} | *#fət͡ʃcjˈəɲ# | *#fət͡ʃt͡ʃjˈəɲ# {GOLD: #faʃcˈɔj#}
307    | #ˌiːnfˈernum# | *#ˌiːfˈernu# | *#ˌifˈɛrnu# | *#fjˈɛrnu# | *#fjˈɛrnu# | *#fjˈɛrnu# | *#fjˈɛːrn# {GOLD: >*} | *#fjˈɛːɾn# {GOLD: >*} | *#fjˈɛɾn# {GOLD: >*} | *#fjˈɛɾn# | *#fjˈɛɾn# {GOLD: #fˈɛr#}
308    | #ˌinɡɑnniˈeːnioː# | *#ˌinɡɑnɲˈeːɲoː# | *#ˌenɡɑnɲˈeɲø# | *#ənɡənɲˈɛɲɛ# | *#ənɡənɲˈɛɲɛ# | *#ənɡənɲˈɛɲɛ# | *#hə̃nɡə̃nɲˈɛ̃ːɲ# {GOLD: >*} | *#hə̃nɡə̃nɲˈɛ̃ːɲ# {GOLD: >*} | *#hənɡənɲˈɛɲ# {GOLD: >*} | *#hənɡənɲˈɛɲ# | *#hənɡənɲˈɛɲ# {GOLD: #ŋɡəɲˈɛj#}
309    | #ˌinɡrˈɑːtɑm# | *#ˌinɡrˈɑːtɑ# | *#ˌenɡrˈɑtɑ# | *#ənɡrˈɑtɑ# | *#ənɡrˈɑtɑ# | *#ənɡrˈɑtɑ# | *#hə̃nɡrˈatə# {GOLD: >*} | *#hə̃nɡɾˈatə# {GOLD: >*} | *#hənɡɾˈatə# {GOLD: >*} | *#hənɡɾˈatə# | *#hənɡɾˈatə# {GOLD: #ŋɡɾˈatə#}
310    | #ˌinimˈiːkum# | *#ˌinimˈiːku# | *#ˌenemˈiku# | *#nəmˈiku# | *#nəmˈiku# | *#nəmˈiku# | *#nə̃mˈik# {GOLD: #ˌãɾ̃əmˈik#} | *#nə̃mˈik# {GOLD: >*} | *#nəmˈik# {GOLD: >*} | *#nəmˈik# | *#nəmˈik# {GOLD: #aɾmˈik#}
311    | #ˌinkˌɑbɑllikˈɑːnioː# | *#ˌinkˌɑɑlikˈɑːɲoː# | *#ˌenkˌɑɑlekˈɑɲø# | *#ənkəələkˈɑɲɛ# | *#ənɡəələkˈɑɲɛ# | *#ənɡəələkˈɑɲɛ# | *#hə̃nɡəəʎkˈãːɲ# {GOLD: #n̩kalːəkˈɔ̃ɲ#} | *#hə̃nɡəəʎkˈəːɲ# {GOLD: >*} | *#hənɡəəjkˈəɲ# {GOLD: #əŋɡalkˈɔɲ#} | *#hənɡəəjkˈəɲ# | *#hənɡəəjkˈəɲ# {GOLD: #ŋɡalkˈɔj#}
312    | #ˌinkˌɑrrikˈɑːnioː# | *#ˌinkˌɑrːikˈɑːɲoː# | *#ˌenkˌɑrːekˈɑɲø# | *#ənkərːəkˈɑɲɛ# | *#ənɡərːəkˈɑɲɛ# | *#ənɡərːəkˈɑɲɛ# | *#hə̃nɡərːəkˈãːɲ# {GOLD: #n̩karːəkˈɔ̃ɲ#} | *#hə̃nɡərəkˈəːɲ# {GOLD: >*} | *#hənɡərəkˈəɲ# {GOLD: >*} | *#hənɡərəkˈəɲ# | *#hənɡərəkˈəɲ# {GOLD: #ŋɡaɾkˈɔj#}
313    | #ˌinkˌɑwsinˈɑːnioː# | *#ˌinkˌɑwsinˈɑːɲoː# | *#ˌenkˌɑwsenˈɑɲø# | *#ənkəsənˈɑɲɛ# | *#ənfʃənˈɑɲɛ# | *#ənfʃənˈɑɲɛ# | *#hə̃fʃə̃nˈãːɲ# {GOLD: >*} | *#hə̃fʃə̃ɾˈəːɲ# {GOLD: >*} | *#həfʃəɾˈəɲ# {GOLD: >*} | *#həfʃəɾˈəɲ# | *#həfʃəɾˈəɲ# {GOLD: #ŋɡaʃəɾˈɛj#}
314    | #ˌinkonɡˌyːrˈɑːnioː# | *#ˌinkoɲˌiːrˈɑːɲoː# | *#ˌenkoɲˌirˈɑɲø# | *#ənkəɲərˈɑɲɛ# | *#ənɡəɲərˈɑɲɛ# | *#ənɡəɲərˈɑɲɛ# | *#hə̃nɡə̃ɲərˈãːɲ# {GOLD: >*} | *#hə̃nɡə̃ɲəɾˈəːɲ# {GOLD: >*} | *#hənɡəɲəɾˈəɲ# {GOLD: >*} | *#hənɡəɲəɾˈəɲ# | *#hənɡəɲəɾˈəɲ# {GOLD: #ɲɟəɾˈɔj#}
315    | #ˌinkˌonsoːlˈɑːnioː# | *#ˌinkˌoːsoːlːˈɑːɲoː# | *#ˌenkˌøsølːˈɑɲø# | *#ənkəsəlːˈɑɲɛ# | *#ənfʃəlːˈɑɲɛ# | *#ənfʃəlːˈɑɲɛ# | *#hə̃fʃəlːˈãːɲ# {GOLD: >*} | *#hə̃fʃəlˠˈəːɲ# {GOLD: >*} | *#həfʃəlˠˈəɲ# {GOLD: #əŋɡuʃəlˠˈɔɲ#} | *#həfʃəlˠˈəɲ# | *#həfʃəlˠˈəɲ# {GOLD: #ŋɡuʃulˠˈɔj#}
316    | #ˌinkʰˈordoː# | *#ˌinkʰˈordoː# | *#ˌenkˈorðø# | *#ənkˈɔrðɛ# | *#ənɡˈɔrðɛ# | *#ənɡˈɔrðɛ# | *#hə̃nɡˈɔːrð# {GOLD: #n̩kˈɔɾð#} | *#hə̃nɡˈɔːɾð# {GOLD: >*} | *#hənɡˈɔɾð# {GOLD: >*} | *#hənɡˈɔɾð# | *#hənɡˈɔɾð# {GOLD: #ŋɡˈɔɾð#}
317    | #ˌinkˈudem# | *#ˌinkˈude# | *#ˌenkˈuɛ# | *#ənkˈyɛ# | *#ənɟˈyɛ# | *#ənɟˈyɛ# | *#hə̃nɟˈy# {GOLD: >*} | *#hə̃nɟˈy# {GOLD: >*} | *#hənɟˈy# {GOLD: >*} | *#hənɟˈy# | *#hənɟˈy# {GOLD: #kˈuð#}
318    | #ˌinkˈudinem# | *#ˌinkˈudəne# | *#ˌenkˈudnɛ# | *#ənkˈydnɛ# | *#ənɟˈydnɛ# | *#ənɟˈydnɛ# | *#hə̃nɟˈydn# {GOLD: >*} | *#hə̃nɟˈydn# {GOLD: >*} | *#hənɟˈydn# {GOLD: >*} | *#hənɟˈydn# | *#hənɟˈydn# {GOLD: #kˈuðəɾ#}
319    | #ˌinkˌuneˈɑːnioː# | *#ˌinkˌuɲˈɑːɲoː# | *#ˌenkˌuɲˈɑɲø# | *#ənkəɲˈɑɲɛ# | *#ənɡəɲˈɑɲɛ# | *#ənɡəɲˈɑɲɛ# | *#hə̃nɡə̃ɲˈãːɲ# {GOLD: >*} | *#hə̃nɡə̃ɲˈəːɲ# {GOLD: >*} | *#hənɡəɲˈəɲ# {GOLD: >*} | *#hənɡəɲˈəɲ# | *#hənɡəɲˈəɲ# {GOLD: #ŋɡujˈɔj#}
320    | #ˌinnˈokuum# | *#ˌinːˈokwu# | *#ˌenːˈokwu# | *#nːˈɔku# | *#nːˈɔku# | *#nːˈɔku# | *#nːˈɔk# {GOLD: >*} | *#nˈɔk# {GOLD: >*} | *#nˈɔk# {GOLD: >*} | *#nˈɔk# | *#nˈɔk# {GOLD: #nˈɔk#}
321    | #ˌinˈoffulɑm# | *#ˌinˈoffəlːɑ# | *#ˌenˈofflːɑ# | *#nˈɔfflːɑ# | *#nˈɔfflːɑ# | *#nˈɔfflːɑ# | *#nˈɔːfflːə# {GOLD: >*} | *#nˈɔːfflˠə# {GOLD: >*} | *#nˈɔfflˠə# {GOLD: >*} | *#nˈɔfflˠə# | *#nˈɔfflˠə# {GOLD: #nˈɔfulˠ#}
322    | ... | ... | *#enpˌɛkkˈɑtu# | *#ənpəkkˈɑtu# | *#ənpəkkˈɑtu# | *#ənpəkkˈɑtu# | *#hə̃npəkkˈat# {GOLD: #m̩pəkˈat#} | *#hə̃npəkkˈat# {GOLD: >*} | *#hənpəkkˈat# {GOLD: >*} | *#hənpəkkˈat# | *#hənpəkkˈat# {GOLD: #məkˈat#}
323    | #inpˌensˈɑːnioː# | *#inpˌeːsˈɑːɲoː# | *#enpˌisˈɑɲø# | *#ənpəsˈɑɲɛ# | *#ənpəʃˈɑɲɛ# | *#ənpəʃˈɑɲɛ# | *#hə̃npəʃˈãːɲ# {GOLD: #m̩pəʃˈɔ̃ɲ#} | *#hə̃npəʃˈəːɲ# {GOLD: #mbəʃˈɔ̃ɲ#} | *#hənpəʃˈəɲ# {GOLD: >*} | *#hənpəʃˈəɲ# | *#hənpəʃˈəɲ# {GOLD: #məʃˈɔj#}
324    | #ˌinsˈiɡniɑm# | *#ˌiːsˈiɲɑ# | *#ˌisˈeɲɑ# | *#sˈɛɲɑ# | *#ʃˈɛɲɑ# | *#ʃˈɛɲɑ# | *#ʃˈɛ̃ːɲə# {GOLD: >*} | *#ʃˈɛ̃ːɲə# {GOLD: >*} | *#ʃˈɛɲə# {GOLD: >*} | *#ʃˈɛɲə# | *#ʃˈɛɲə# {GOLD: #ʃˈɛɲə#}
325    | #ˈiːnsulɑm# | *#ˈiːsəlːɑ# | *#ˈislːɑ# | *#ˈislːɑ# | *#ˈiʃlːɑ# | *#ˈiʃlːɑ# | *#hˈiːʒlːə# {GOLD: >*} | *#hˈiːʒlˠə# {GOLD: >*} | *#hˈiʒlˠə# {GOLD: >*} | *#hˈiʒlˠə# | *#hˈiʒlˠə# {GOLD: #ˈiʃulˠ#}
326    | #ˌintˌelliɡˈonioː# | *#ˌintˌeliɡˈoɲoː# | *#ˌentˌɛleɡˈoɲø# | *#əntələɡˈɔɲɛ# | *#əntələɡˈɔɲɛ# | *#əntələɡˈɔɲɛ# | *#hə̃ntəlɡˈɔ̃ːɲ# {GOLD: #n̩dɪlɪɡˈɔ̃ɲ#} | *#hə̃ntəlɡˈɔ̃ːɲ# {GOLD: >*} | *#həntəlɡˈɔɲ# {GOLD: >*} | *#həntəlɡˈɔɲ# | *#həntəlɡˈɔɲ# {GOLD: #ndəɟˈɔj#}
327    | #ˌintˌeɡrˈɑːnio# | *#ˌintˌeɡrˈɑːɲo# | *#ˌentˌɛɡrˈɑɲo# | *#əntəɡrˈɑɲɔ# | *#əntəɡrˈɑɲɔ# | *#əntəɡrˈɑɲɔ# | *#hə̃ntəɡrˈãːɲ# {GOLD: >*} | *#hə̃ntəɡɾˈəːɲ# {GOLD: >*} | *#həntəɡɾˈəɲ# {GOLD: >*} | *#həntəɡɾˈəɲ# | *#həntəɡɾˈəɲ# {GOLD: #ndəɾɡˈɔj#}
328    | #ˌinter# | *#ˌinter# | *#ˌentɛr# | *#əntər# | *#əntər# | *#əntər# | *#hə̃ntər# {GOLD: >*} | *#hə̃ntəɾ# {GOLD: >*} | *#həntəɾ# {GOLD: >*} | *#həntəɾ# | *#həntəɾ# {GOLD: #ndəɾ#}
329    | #ˌintinɡiˈonioː# | *#ˌintiɲjˈoɲoː# | *#ˌenteɲjˈoɲø# | *#əntəɲjˈɔɲɛ# | *#əntəɲjˈɔɲɛ# | *#əntəɲjˈɔɲɛ# | *#hə̃ntə̃ɲjˈɔ̃ːɲ# {GOLD: >*} | *#hə̃ntə̃ɲjˈɔ̃ːɲ# {GOLD: >*} | *#həntəɲjˈɔɲ# {GOLD: >*} | *#həntəɲjˈɔɲ# | *#həntəɲjˈɔɲ# {GOLD: #ɲɟˈye̯j#}
330    | #ˌinwˌernˈɑːliɑ# | *#ˌinwˌernˈɑːʎɑ# | *#ˌenwˌɛrnˈɑʎɑ# | *#nwərnˈɛʎɑ# | *#nwərnˈɛʎɑ# | *#nwərnˈɛʎɑ# | *#nvərnˈɛːʎə# {GOLD: #mˌɛrˈaʎə#} | *#nvərˈɛːʎə# {GOLD: >*} | *#nvərˈɛjə# {GOLD: >*} | *#nvərˈɛjə# | *#nvərˈɛjə# {GOLD: #mərˈajə#}
331    | #ˌinwˈernum# | *#ˌinwˈernu# | *#ˌenwˈɛrnu# | *#nwjˈɛrnu# | *#nwjˈɛrnu# | *#nwjˈɛrnu# | *#nvjˈɛːrn# {GOLD: >*} | *#nvjˈɛːɾn# {GOLD: >*} | *#nvjˈɛɾn# {GOLD: >*} | *#nvjˈɛɾn# | *#nvjˈɛɾn# {GOLD: #vˈɛr#}
332    | #ˌinwˌidiˈɑːnioː# | *#ˌinwˌidjˈɑːɲoː# | *#ˌenwˌedjˈɑɲø# | *#nwədjˈɑɲɛ# | *#nwə?1̬ˈɑɲɛ# | *#nwə?1̬ˈɑɲɛ# | *#nvə?1̬ˈãːɲ# {GOLD: #mizˈɔ̃ɲ#} | *#nvə?1̬ˈəːɲ# {GOLD: >*} | *#nvə?1̬ˈəɲ# {GOLD: >*} | *#nvə?1̬ˈəɲ# | *#nvə?1̬ˈəɲ# {GOLD: #md͡zˈɔj#}
333    | #wˌiːtˈɑːnioː# | *#βˌiːtˈɑːɲoː# | *#βˌitˈɑɲø# | *#βətˈɑɲɛ# | *#βətˈɑɲɛ# | *#βətˈɑɲɛ# | *#vətˈãːɲ# {GOLD: >*} | *#vətˈəːɲ# {GOLD: >*} | *#vətˈəɲ# {GOLD: >*} | *#vətˈəɲ# | *#vətˈəɲ# {GOLD: #ftˈɔj#}
334    | #ˌinwˌitiˈɑːnioː# | *#ˌinwˌitjˈɑːɲoː# | *#ˌenwˌetjˈɑɲø# | *#nwətjˈɑɲɛ# | *#nwə?1ˈɑɲɛ# | *#nwə?1ˈɑɲɛ# | *#nvə?1ˈãːɲ# {GOLD: >*} | *#nvə?1ˈəːɲ# {GOLD: >*} | *#nvə?1ˈəɲ# {GOLD: >*} | *#nvə?1ˈəɲ# | *#nvə?1ˈəɲ# {GOLD: #məsˈɔj#}
