etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
18     | ... | ... | #kˈɑltʰɑ# | *#kˈɑltʰɑ# | *#kˈɑltʰɑ# | *#kˈɑltɑ# | *#kˈɑltɑ# | *#kˈɑltɑ# | *#kˈɑltɑ# | *#kˈaːltə# {GOLD: >*} | *#kˈaːltə# | *#kˈaltə# | *#kˈaltə# | *#kˈaltə# {GOLD: #kˈaltə#}
19     | ... | ... | #kˈɑltʰinɑ# | *#kˈɑltʰiːnɑ# | *#kˈɑltʰənɑ# | *#kˈɑltnɑ# | *#kˈɑltnɑ# | *#kˈɑltnɑ# | *#kˈɑltnɑ# | *#kˈaːltnə# {GOLD: #kˈaltə̃ɾ̃ə#} | *#kˈaːltnə# | *#kˈaltnə# | *#kˈaltnə# | *#kˈaltnə# {GOLD: #kˈaltəɾ#}
20     | ... | ... | ... | ... | #kˌɑlˈɔɡɛrɔ# | *#kˌɑlˈoɡɛro# | *#kəlˈɛɡɛrɔ# | *#kəlˈɛɟɛrɔ# | *#kəlˈɛɟɛrɔ# | *#kəlˈɛɟɛr# {GOLD: >*} | *#kəlˈɛɟɛɾ# | *#kəlˈɛɟɛɾ# | *#kəlˈɛɟɛɾ# | *#kəlˈɛɟɛɾ# {GOLD: #klˠˈɔɟəɾ#}
21     | ... | ... | #kˌokkˈumɛːlon# | *#kˌokkˈumɛːlon# | *#kˌokkˈuməlːo# | *#kˌokkˈumlːo# | *#kəkkˈumlːɔ# | *#kəkkˈumlːɔ# | *#kəkkˈumlːɔ# | *#kəkkˈũːmlː# {GOLD: >*} | *#kəkkˈũːmlˠ# | *#kəkkˈumlˠ# | *#kəkkˈumlˠ# | *#kəkkˈumlˠ# {GOLD: #kˈumbulˠ#}
22     | ... | ... | #ɡˌawzˈaːfon# | *#ɡˌɑwzˈɑː̹fon# | *#ɡˌɑwzˈɑː̹fo# | *#ɡˌɑwzˈɤ̹fo# | *#ɡəzˈʌ̹fɔ# | *#ɡəzˈʌ̹fɔ# | *#ɡəzˈʌ̹fɔ# | *#ɡəzˈʌː̹f# {GOLD: >*} | *#ɡəzˈʌː̹f# | *#ɡəzˈʌ̹f# | *#ɡəzˈʌ̹f# | *#ɡəzˈʌ̹f# {GOLD: #ɡəzˈɔf#}
23     | ... | ... | #kˌorsɔːtˈon# | *#kˌorsɔːtˈon# | *#kˌorsɔːtˈon# | *#kˌorsœtˈon# | *#kərsətˈuo̯n# | *#kərʃətˈuo̯n# | *#kərʃətˈuo̯n# | *#kərʃətˈuo̯n# {GOLD: #kɾ̩ʃˈœt#} | *#kəɾʃətˈua̯n# | *#kəɾʃətˈua̯n# | *#kəɾʃətˈua̯n# | *#kəɾʃətˈua̯n# {GOLD: #ɡəɾʃˈɛt#}
24     | ... | ... | ... | ... | ... | ... | ... | #ɡrˌafˈɛjɔn# | *#ɡrˌafˈɛjɔn# | *#ɡrˌafˈɛjɔ̃# {GOLD: >*} | *#ɡɾˌafˈɛjɔ̃# | *#ɡɾəfˈɛjə# | *#ɡɾəfˈɛjə# | *#ɡɾəfˈɛjə# {GOLD: #ɡəɾfˈɛj#}
25     | ... | ... | #ɡrˈamma# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈãːmmə# {GOLD: >*} | *#ɡɾˈəːmmbə# | *#ɡɾˈəmmbə# | *#ɡɾˈəmmbə# | *#ɡɾˈəmmbə# {GOLD: #ɡˈəɾmə#}
26     | ... | ... | #ɡˌɔːlˈoːn# | *#ɡˌɔːlˈoːn# | *#ɡˌɔːlːˈoːn# | *#ɡˌœlːˈon# | *#ɡəlːˈuo̯n# | *#ɡəlːˈuo̯n# | *#ɡəlːˈuo̯n# | *#ɡəlːˈuo̯n# {GOLD: >*} | *#ɡəlˠˈua̯n# | *#ɡəlˠˈua̯n# | *#ɡəlˠˈua̯n# | *#ɡəlˠˈua̯n# {GOLD: #ɡˈɔlˠ#}
27     | ... | ... | #ɦˌɔːlˈenaː# | *#ˌɔːlˈenɑː̹# | *#βˌɔːʎˈenɑː̹# | *#βˌœʎˈɛnɤ̹# | *#βəʎjˈɛnʌ̹# | *#βəʎjˈɛnʌ̹# | *#βəʎjˈɛnʌ̹# | *#vəʎjˈɛ̃ː# {GOLD: #lˠˈãɾ̃ə#} | *#vəʎjˈɛ̃ː# | *#vəjjˈɛ# | *#vəjjˈɛ# | *#vəjjˈɛ# {GOLD: #lˠˈəɾə#}
28     | ... | ... | #kˌerasˈiːa# | *#kˌerɑsˈiːɑ# | *#kˌerɑsˈiːɑ# | *#kˌɛrɑsˈiɑ# | *#kərəsˈiɑ# | *#kərəʃˈiɑ# | *#kərəʃˈiɑ# | *#kərəʃˈiː# {GOLD: >*} | *#kəɾəʃˈiː# | *#kəɾəʃˈi# | *#kəɾəʃˈi# | *#kəɾəʃˈi# {GOLD: #cɛɾʃˈi#}
29     | ... | ... | #tˈermon# | *#tˈermon# | *#tˈermo# | *#tˈɛrmo# | *#tjˈɛrmɔ# | *#?1ˈɛrmɔ# | *#?1ˈɛrmɔ# | *#?1ˈɛːrmb# {GOLD: >*} | *#?1ˈɛːɾmb# | *#?1ˈɛɾmb# | *#?1ˈɛɾmb# | *#?1ˈɛɾmb# {GOLD: #cˈɛɾm#}
30     | ... | ... | ... | ... | #stˈɛfɑnɔn# | *#stˈɛfɑnon# | *#stjˈɛfɑnɔn# | *#ʃ?1ˈɛfɑnɔn# | *#ʃ?1ˈɛfɑnɔn# | *#ʃ?1ˈɛːfãnɔ̃# {GOLD: >*} | *#ʃ?1ˈɛːfə̃ɾɔ̃# | *#ʃ?1ˈɛfəɾə# | *#t͡ʃ?1ˈɛfəɾə# | *#t͡ʃ?1ˈɛfəɾə# {GOLD: #cˈɛfəɾ#}
31     | ... | ... | ... | ... | #kˈɛfɑlɔn# | *#kˈɛfɑlon# | *#kjˈɛfɑlɔn# | *#cjˈɛfɑlɔn# | *#cjˈɛfɑlɔn# | *#cjˈɛːfalɔ̃# {GOLD: >*} | *#cjˈɛːfalɔ̃# | *#cjˈɛfalə# | *#cjˈɛfalə# | *#t͡ʃjˈɛfalə# {GOLD: #cˈɛfulˠ#}
32     | ... | ... | #kˌapnˈi# | *#kˌɑpnˈiː# | *#kˌɑpnˈiː# | *#kˌɑpnˈi# | *#kəpnˈi# | *#kəpnˈi# | *#kəpnˈi# | *#kəpnˈi# {GOLD: >*} | *#kəpnˈi# | *#kəpnˈi# | *#kəpnˈi# | *#kəpnˈi# {GOLD: #cˈɛm#}
33     | ... | ... | ... | ... | ... | ... | ... | #kˌiːrˈiːɑ# | *#kˌiːrˈiːɑ# | *#kˌiːrˈiː# {GOLD: >*} | *#kˌiːɾˈiː# | *#kəɾˈi# | *#kəɾˈi# | *#kəɾˈi# {GOLD: #ciɾˈi#}
34     | ... | ... | ... | ... | #kʰˈylɔn# | *#kˈølon# | *#kˈɛlɔn# | *#cˈɛlɔn# | *#cˈɛlɔn# | *#cˈɛːlɔ̃# {GOLD: >*} | *#cˈɛːlɔ̃# | *#cˈɛlə# | *#cˈɛlə# | *#t͡ʃˈɛlə# {GOLD: #cˈulˠ#}
35     | ... | ... | #sˈarkon# | *#sˈɑrkon# | *#sˈɑrko# | *#sˈɑrko# | *#sˈɑrkɔ# | *#ʃˈɑrkɔ# | *#ʃˈɑrkɔ# | *#ʃˈaːrk# {GOLD: >*} | *#ʃˈaːɾk# | *#ʃˈaɾk# | *#ʃˈaɾk# | *#ʃˈaɾk# {GOLD: #ʃˈaɾk#}
36     | ... | ... | #sˌurˈittioː# | *#sˌurˈiːttiːoː# | *#sˌurˈiːttjoː# | *#sˌurˈittjø# | *#sərˈittjɛ# | *#ʃərˈit?1ɛ# | *#ʃərˈit?1ɛ# | *#ʃərˈit?1# {GOLD: >*} | *#ʃəɾˈit?1# | *#ʃəɾˈit?1# | *#ʃəɾˈit?1# | *#ʃəɾˈit?1# {GOLD: #ʃəɾˈis#}
37     | ... | ... | #sˈaːsis# | *#sˈɑː̹siːs# | *#sˈɑː̹siː# | *#sˈɤ̹si# | *#sˈʌ̹si# | *#ʃˈʌ̹ʃi# | *#ʃˈʌ̹ʃi# | *#ʃˈʌː̹ʃ# {GOLD: #ʃˈɔʃ#} | *#ʃˈʌː̹ʃ# | *#ʃˈʌ̹ʃ# | *#ʃˈʌ̹ʃ# | *#ʃˈʌ̹ʃ# {GOLD: #ʃˈɔʃ#}
38     | ... | ... | #skˈalmaːn# | *#skˈɑlmɑː̹n# | *#skˈɑlːɑː̹# | *#skˈɑlːɤ̹# | *#skˈɑlːʌ̹# | *#ʃkˈɑlːʌ̹# | *#ʃkˈɑlːʌ̹# | *#ʃkˈaːlː# {GOLD: >*} | *#ʃkˈaːlˠ# | *#ʃkˈalˠ# | *#t͡ʃkˈalˠ# | *#t͡ʃkˈalˠ# {GOLD: #ʃkˈalˠmə#}
39     | ... | ... | #skˈaripʰa# | *#skˈɑriːpʰɑ# | *#skˈɑrəpʰɑ# | *#skˈɑrpɑ# | *#skˈɑrpɑ# | *#ʃkˈɑrpɑ# | *#ʃkˈɑrpɑ# | *#ʃkˈaːrpə# {GOLD: >*} | *#ʃkˈaːɾpə# | *#ʃkˈaɾpə# | *#t͡ʃkˈaɾpə# | *#t͡ʃkˈaɾpə# {GOLD: #ʃkˈaɾpə#}
40     | ... | ... | #skˈɑmnon# | *#skˈɑmnon# | *#skˈɑmno# | *#skˈɑmno# | *#skˈɑmnɔ# | *#ʃkˈɑmnɔ# | *#ʃkˈɑmnɔ# | *#ʃkˈãːmn# {GOLD: >*} | *#ʃkˈəːmn# | *#ʃkˈəmn# | *#t͡ʃkˈəmn# | *#t͡ʃkˈəmn# {GOLD: #ʃkˈəmb#}
41     | ... | ... | #skˈaːpon# | *#skˈɑː̹pon# | *#skˈɑː̹po# | *#skˈɤ̹po# | *#skˈʌ̹pɔ# | *#ʃkˈʌ̹pɔ# | *#ʃkˈʌ̹pɔ# | *#ʃkˈʌ̹p# {GOLD: >*} | *#ʃkˈʌ̹p# | *#ʃkˈʌ̹p# | *#t͡ʃkˈʌ̹p# | *#t͡ʃkˈʌ̹p# {GOLD: #ʃkˈɔp#}
42     | ... | ... | #skˌampˈiːnon# | *#skˌɑmpˈiːnon# | *#skˌɑmpˈiːno# | *#skˌɑmpˈino# | *#skəmpˈinɔ# | *#ʃkəmbˈinɔ# | *#ʃkəmbˈinɔ# | *#ʃkə̃mbˈĩː# {GOLD: #ʃkumbˈĩːn#} | *#ʃkə̃mbˈĩː# | *#ʃkəmbˈi# | *#t͡ʃkəmbˈi# | *#t͡ʃkəmbˈi# {GOLD: #ʃkumbˈin#}
