etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌajˈaːzmə# | *#ˌajˈaːzm̩# {GOLD: >*} | *#ˌajˈaːzm̩# | *#ˌajˈazm̩# | *#ajˈazəm# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌavlˠˈi# | *#ˌavlˠˈi# {GOLD: >*} | *#ˌavlˠˈi# | *#ˌavlˠˈi# | *#avlˠˈi# {GOLD: #avlˠˈi#}
2      | ... | ... | ... | *#ˈɑlɑmmɑ# | *#ˈɑlɑmmɑ# | *#ˈɑlɑmmɑ# | *#ˈalamma# | *#ˈalɐmma# | *#ˈaːlˠɐmːə# | *#ˈaːlˠəmːə# {GOLD: >*} | *#ˈaːlˠəm# | *#ˈalˠm# | *#ˈalˠm# {GOLD: #ˈaləm#}
3      | ... | ... | ... | *#ˈɑlɑjmmɑ# | *#ˈɑlɑjmmɑ# | *#ˈɑlɑjmmɑ# | *#ˈaleːmma# | *#ˈalĩːmma# | *#ˈaːlĩːmːə# | *#ˈaːlĩːmːə# {GOLD: >*} | *#ˈaːlĩːm# | *#ˈalm# | *#ˈalm# {GOLD: #ˈaləm#}
4      | ... | ... | ... | *#ˈɑleːmmɑ# | *#ˈɑleːmmɑ# | *#ˈɑlemmɑ# | *#ˈelɪmma# | *#ˈelɪ̃mma# | *#ˈɛːlə̃mːə# | *#ˈɛːlə̃mːə# {GOLD: >*} | *#ˈɛːlə̃m# | *#ˈɛlm# | *#ˈɛlm# {GOLD: #ˈaləm#}
5      | ... | ... | ... | *#ˈɑlejmmɑ# | *#ˈɑlɛjmmɑ# | *#ˈɑlɛjmmɑ# | *#ˈelimma# | *#ˈelĩmma# | *#ˈɛːlĩmːə# | *#ˈɛːlĩmːə# {GOLD: >*} | *#ˈɛːlĩm# | *#ˈɛlm# | *#ˈɛlm# {GOLD: #ˈaləm#}
6      | ... | ... | ... | ... | ... | ... | *#ˈelɪma# | *#ˈelma# | *#ˈɛːlˠmə# | *#ˈɛːlˠmə# {GOLD: >*} | *#ˈɛːlˠmə# | *#ˈɛlˠmə# | *#ˈɛlˠmə# {GOLD: #ˈaləm#}
7      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈaːlimə# | *#ˈaːlimə# {GOLD: >*} | *#ˈaːlim# | *#ˈalm# | *#ˈalm# {GOLD: #ˈaləm#}
8      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈamɛ# | *#ˈamɛ# {GOLD: >*} | *#ˈamɛ# | *#ˈamɛ# | *#ˈamɛ# {GOLD: #ˈamɛ#}
9      | ... | ... | ... | *#hˈɑxon# | *#hˈɑxɔ# | *#hˈɑxo# | *#hˈaxo# | *#hˈaxɔ# | *#hˈax# | *#hˈax# {GOLD: >*} | *#hˈah# | *#hˈah# | *#hˈah# {GOLD: #hˈah#}
