etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌaɣjˈazma# | *#hˌaɡjˈaːzmə# {GOLD: >*} | *#hˌaɡjˈaːzmbə# {GOLD: >*} | *#həɟˈazmbə# {GOLD: >*} | *#həɟˈazmbə# | *#həɟˈazmbə# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | ... | *#dərˈɔɲɔ# | *#dərˈɔɲɔ# | *#dərˈɔɲɔ# | *#dərˈɔ̃ːɲ# {GOLD: >*} | *#dəɾˈɔ̃ːɲ# {GOLD: >*} | *#dəɾˈɔɲ# {GOLD: #aðəɾˈɔɲ#} | *#dəɾˈɔɲ# | *#dəɾˈɔɲ# {GOLD: #aðəɾˈɔj#}
2      | ... | ... | ... | ... | *#ˌɑdˌoːrˈɑːɲoː# | *#ˌɑˌørˈɑɲø# | *#ˌɛrˈɑɲɛ# | *#ˌɛrˈɑɲɛ# | *#ˌɛrˈɑɲɛ# | *#hˌɛrˈãːɲ# {GOLD: >*} | *#hˌɛɾˈəːɲ# {GOLD: >*} | *#həɾˈəɲ# {GOLD: #aðəɾˈɔɲ#} | *#həɾˈəɲ# | *#həɾˈəɲ# {GOLD: #aðuɾˈɔj#}
3      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌarɡˈaːvə# {GOLD: >*} | *#hˌaɾɡˈaːvə# {GOLD: >*} | *#həɾɡˈavə# {GOLD: >*} | *#həɾɡˈavə# | *#həɾɡˈavə# {GOLD: #aɾɡˈɔvə#}
4      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌarkˈitə# {GOLD: >*} | *#hˌaɾkˈitə# {GOLD: >*} | *#həɾkˈitə# {GOLD: >*} | *#həɾcˈitə# | *#həɾt͡ʃˈitə# {GOLD: #aɾcˈitə#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌardɛ̃nˈiːt͡sə# {GOLD: >*} | *#hˌaɾdɛ̃ɾˈiːt͡sə# {GOLD: >*} | *#hˌaɾdəɾˈit͡sə# {GOLD: >*} | *#haɾdəɾˈit͡sə# | *#haɾdəɾˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
6      | ... | ... | ... | ... | *#ˌɑdrˌɑːtjˈoːne# | *#ˌɑdrˌɑtjˈonɛ# | *#drətjˈye̯nɛ# | *#drə?1ˈye̯nɛ# | *#drə?1ˈye̯nɛ# | *#dr?1ˈye̯n# {GOLD: #arəsˈyø̯#} | *#dɾ?1ˈye̯n# {GOLD: >*} | *#dɾ?1ˈye̯n# {GOLD: >*} | *#dɾ?1ˈye̯n# | *#dɾ?1ˈye̯n# {GOLD: #aɾsˈye̯#}
7      | ... | ... | ... | ... | *#ˌɑlbɑːnˈeːsu# | *#ˌɑlbɑnˈisu# | *#əlbənˈisu# | *#əlbənˈiʃu# | *#əlbənˈiʃu# | *#həlbə̃nˈiːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#həlbə̃ɾˈiːʃ# {GOLD: >*} | *#həlbəɾˈiʃ# {GOLD: >*} | *#həlbəɾˈiʃ# | *#həlbəɾˈiʃ# {GOLD: #aɾbəɾˈɛʃ#}
8      | ... | ... | ... | ... | *#ˌinimˈiːku# | *#ˌenemˈiku# | *#nəmˈiku# | *#nəmˈiku# | *#nəmˈiku# | *#nə̃mˈik# {GOLD: #ˌãɾ̃əmˈik#} | *#nə̃mˈik# {GOLD: >*} | *#nəmˈik# {GOLD: >*} | *#nəmˈik# | *#nəmˈik# {GOLD: #aɾmˈik#}
9      | ... | ... | ... | ... | *#ˌɑrmˈɑːɲoː# | *#ˌɑrmˈɑɲø# | *#ərmˈɑɲɛ# | *#ərmˈɑɲɛ# | *#ərmˈɑɲɛ# | *#hərmˈãːɲ# {GOLD: #aɾmˈɔ̃ɲ#} | *#həɾmˈəːɲ# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
10     | ... | ... | ... | ... | *#ˌɑrːˌiːˈɑːɲoː# | *#ˌɑrːˌiˈɑɲø# | *#rːəˈɑɲɛ# | *#rːəˈɑɲɛ# | *#rːəˈɑɲɛ# | *#rːˈãːɲ# {GOLD: #ɦarˈĩːɲ#} | *#rˈəːɲ# {GOLD: >*} | *#rˈəɲ# {GOLD: >*} | *#rˈəɲ# | *#rˈəɲ# {GOLD: #arˈij#}
11     | ... | ... | ... | ... | ... | ... | ... | *#ˌɑwˈitɪ# | *#ˌɑwˈitɪ# | *#hˌawˈit# {GOLD: #ˌavˈit#} | *#hˌawˈit# {GOLD: >*} | *#həwˈit# {GOLD: >*} | *#həwˈit# | *#həwˈit# {GOLD: #avˈit#}
12     | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌavlˈi# | *#hˌavlˈi# {GOLD: >*} | *#hˌavlˈi# {GOLD: >*} | *#həvlˈi# {GOLD: >*} | *#həvlˈi# | *#həvlˈi# {GOLD: #avlˠˈi#}
13     | ... | ... | ... | ... | ... | ... | ... | *#ˌaβlamˈendu# | *#ˌaβlamˈendu# | *#hˌavlãmˈẽːnd# {GOLD: >*} | *#hˌavlə̃mˈẽːnd# {GOLD: >*} | *#hˌavləmˈend# {GOLD: >*} | *#havləmˈend# | *#havləmˈen# {GOLD: #avləmˈɛnd#}
14     | ... | ... | ... | ... | *#ˈɑʎu# | *#ˈɑʎu# | *#ˈɛʎu# | *#ˈɛʎu# | *#ˈɛʎu# | *#hˈɛːʎ# {GOLD: >*} | *#hˈɛːʎ# {GOLD: >*} | *#hˈɛj# {GOLD: >*} | *#hˈɛj# | *#hˈɛj# {GOLD: #ˈaj#}
15     | ... | ... | ... | ... | *#ˈɑːər# | *#ˈɑr# | *#ˈɑr# | *#ˈɑr# | *#ˈɑr# | *#hˈaːr# {GOLD: >*} | *#hˈaːɾ# {GOLD: >*} | *#hˈaɾ# {GOLD: >*} | *#hˈaɾ# | *#hˈaɾ# {GOLD: #ˈajəɾ#}
16     | ... | ... | ... | ... | *#ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈɑsklɑ# | *#ˈɑʃklɑ# | *#ˈɑʃklɑ# | *#hˈaːʃkʎə# {GOLD: #ˈaʃkl̩#} | *#hˈaːʃkʎə# {GOLD: >*} | *#hˈaʃcə# {GOLD: #ˈaʃklə#} | *#hˈat͡ʃcə# | *#hˈat͡ʃt͡ʃə# {GOLD: #ˈaʃkəl#}
17     | ... | ... | ... | ... | *#ˈɑspər# | *#ˈɑspr# | *#ˈɑspr# | *#ˈɑʃpr# | *#ˈɑʃpr# | *#hˈaːʃpr# {GOLD: >*} | *#hˈaːʃpɾ# {GOLD: >*} | *#hˈaʃpɾ# {GOLD: >*} | *#hˈat͡ʃpɾ# | *#hˈat͡ʃpɾ# {GOLD: #ˈaʃpəɾ#}
18     | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈalima# | *#hˈaːlĩmə# {GOLD: >*} | *#hˈaːlĩmbə# {GOLD: >*} | *#hˈalimbə# {GOLD: >*} | *#hˈalimbə# | *#hˈalimbə# {GOLD: #ˈaləm#}
19     | ... | ... | ... | ... | *#ˈɑwru# | *#ˈɑwru# | *#ˈɑru# | *#ˈɑru# | *#ˈɑru# | *#hˈaːr# {GOLD: #ˈaːɾ#} | *#hˈaːɾ# {GOLD: #ˈaːɾ#} | *#hˈaɾ# {GOLD: >*} | *#hˈaɾ# | *#hˈaɾ# {GOLD: #ˈaɾ#}
20     | ... | ... | ... | ... | *#ˈɑrku# | *#ˈɑrku# | *#ˈɑrku# | *#ˈɑrku# | *#ˈɑrku# | *#hˈaːrk# {GOLD: #ɦˈaɾk#} | *#hˈaːɾk# {GOLD: >*} | *#hˈaɾk# {GOLD: >*} | *#hˈaɾk# | *#hˈaɾk# {GOLD: #ˈaɾk#}
21     | ... | ... | ... | ... | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#hˈaːrkə# {GOLD: >*} | *#hˈaːɾkə# {GOLD: >*} | *#hˈaɾkə# {GOLD: >*} | *#hˈaɾkə# | *#hˈaɾkə# {GOLD: #ˈaɾkə#}
22     | ... | ... | ... | ... | *#ˈɑlbənu# | *#ˈɑlbnu# | *#ˈɑlbnu# | *#ˈɑlbnu# | *#ˈɑlbnu# | *#hˈaːlbn# {GOLD: #ˈaɾbə̃ɾ̃ə#} | *#hˈaːlbn# {GOLD: >*} | *#hˈalbn# {GOLD: >*} | *#hˈalbn# | *#hˈalbn# {GOLD: #ˈaɾbəɾ#}
23     | ... | ... | ... | ... | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#hˈaːrmə# {GOLD: >*} | *#hˈaːɾmbə# {GOLD: >*} | *#hˈaɾmbə# {GOLD: >*} | *#hˈaɾmbə# | *#hˈaɾmbə# {GOLD: #ˈaɾmə#}
24     | ... | ... | ... | ... | *#ˈɑptu# | *#ˈɑptu# | *#ˈɑptu# | *#ˈɑftu# | *#ˈɑftu# | *#hˈaːft# {GOLD: >*} | *#hˈaːft# {GOLD: >*} | *#hˈaft# {GOLD: >*} | *#hˈaft# | *#hˈaft# {GOLD: #ˈaft#}
25     | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈamja# | *#hˈãːmɛ# {GOLD: >*} | *#hˈəːmbɛ# {GOLD: >*} | *#hˈəmbɛ# {GOLD: >*} | *#hˈəmbɛ# | *#hˈəmbɛ# {GOLD: #ˈamɛ#}
26     | ... | ... | ... | ... | ... | ... | ... | *#xˌɒrbˈɪlɪ# | *#xˌɒrbˈɪlɪ# | *#xˌarbˈɪːl# {GOLD: >*} | *#hˌaɾbˈɪːl# {GOLD: >*} | *#həɾbˈɪl# {GOLD: >*} | *#həɾbˈɪl# | *#həɾbˈɪl# {GOLD: #haɾabˈɛl#}
27     | ... | ... | ... | ... | *#ˌɑˌerːˈɑːɲoː# | *#ˌɑˌɛrːˈɑɲø# | *#ˌɛrːˈɑɲɛ# | *#ˌɛrːˈɑɲɛ# | *#ˌɛrːˈɑɲɛ# | *#hˌɛrːˈãːɲ# {GOLD: >*} | *#hˌɛrˈəːɲ# {GOLD: >*} | *#hərˈəɲ# {GOLD: >*} | *#hərˈəɲ# | *#hərˈəɲ# {GOLD: #harˈɔj#}
28     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌabˈit# {GOLD: >*} | *#hˌabˈit# {GOLD: >*} | *#həbˈit# {GOLD: >*} | *#həbˈit# | *#həbˈit# {GOLD: #habˈit#}
29     | ... | ... | ... | ... | *#ˌɑrmˌissˈɑːrju# | *#ˌɑrmˌessˈɑrju# | *#ərməssˈɛrju# | *#ərməʃʃˈɛrju# | *#ərməʃʃˈɛrju# | *#hərməʃʃˈɛːrj# {GOLD: #haɾməʃˈuo̯ɾ#} | *#həɾmbəʃʃˈɛːɾj# {GOLD: >*} | *#həɾmbəʃʃˈɛɾj# {GOLD: #haɾməʃˈua̯ɾ#} | *#həɾmbət͡ʃʃˈɛɾj# | *#həɾmbət͡ʃʃˈɛɾj# {GOLD: #hamʃˈɔɾ#}
30     | ... | ... | ... | *#hˈɑkson# | *#hˈɑkso# | *#hˈɑkso# | *#hˈɑksɔ# | *#hˈɑfʃɔ# | *#hˈɑfʃɔ# | *#hˈaːfʃ# {GOLD: >*} | *#hˈaːfʃ# {GOLD: >*} | *#hˈafʃ# {GOLD: >*} | *#hˈafʃ# | *#hˈafʃ# {GOLD: #hˈah#}
31     | ... | ... | ... | ... | *#ˌeːdˌiktˈɑːɲoː# | *#ˌeˌejtˈɑɲø# | *#ˌɛjtˈɑɲɛ# | *#ˌɛjtˈɑɲɛ# | *#ˌɛjtˈɑɲɛ# | *#hˌɛjtˈãːɲ# {GOLD: >*} | *#hˌɛjtˈəːɲ# {GOLD: >*} | *#həjtˈəɲ# {GOLD: >*} | *#həjtˈəɲ# | *#həjtˈəɲ# {GOLD: #hɛtˈɔj#}
32     | ... | ... | ... | ... | *#ˌeksrˌiːmˈɑːɲoː# | *#ˌɛksrˌimˈɑɲø# | *#ksrəmˈɑɲɛ# | *#fʃrəmˈɑɲɛ# | *#fʃrəmˈɑɲɛ# | *#fʒrə̃mˈãːɲ# {GOLD: >*} | *#fʒɾə̃mˈəːɲ# {GOLD: >*} | *#fʒɾəmˈəɲ# {GOLD: >*} | *#fʒɾəmˈəɲ# | *#fʒɾəmˈəɲ# {GOLD: #hɛɾmˈɔj#}
33     | ... | ... | ... | ... | *#hˈoːrɑ# | *#hˈorɑ# | *#hˈɔrɑ# | *#hˈɔrɑ# | *#hˈɔrɑ# | *#hˈɔːrə# {GOLD: #hˈɛɾə#} | *#hˈɔːɾə# {GOLD: >*} | *#hˈɔɾə# {GOLD: >*} | *#hˈɔɾə# | *#hˈɔɾə# {GOLD: #hˈɛɾə#}
34     | ... | ... | ... | ... | *#hˌinːikulːˈɑːɲoː# | *#hˌenːekulːˈɑɲø# | *#hənːəkəlːˈɑɲɛ# | *#hənːəkəlːˈɑɲɛ# | *#hənːəkəlːˈɑɲɛ# | *#hə̃nːəkəlːˈãːɲ# {GOLD: >*} | *#hə̃nəkəlˠˈəːɲ# {GOLD: >*} | *#hənkəlˠˈəɲ# {GOLD: >*} | *#hənkəlˠˈəɲ# | *#hənkəlˠˈəɲ# {GOLD: #hiŋɡəlˠˈɔj#}
35     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌitˈat# {GOLD: >*} | *#hˌitˈat# {GOLD: >*} | *#hətˈat# {GOLD: >*} | *#hətˈat# | *#hətˈat# {GOLD: #hitˈat#}
36     | ... | ... | ... | ... | *#hˌinːˈikəlːɑ# | *#hˌenːˈeklːɑ# | *#hənːˈɛklːɑ# | *#hənːˈɛklːɑ# | *#hənːˈɛklːɑ# | *#hə̃nːˈɛklːə# {GOLD: >*} | *#hə̃nˈɛklˠə# {GOLD: >*} | *#hənˈɛklˠə# {GOLD: >*} | *#hənˈɛklˠə# | *#hənˈɛklˠə# {GOLD: #hˈiŋɡəl#}
37     | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌɒrmˈɒβɑ# | *#xˌarmˈaːvə# {GOLD: #xˌɒrmˈɔvə#} | *#hˌaɾmˈaːvə# {GOLD: >*} | *#həɾmˈavə# {GOLD: >*} | *#həɾmˈavə# | *#həɾmˈavə# {GOLD: #hɔɾmˈɔvə#}
38     | ... | ... | ... | ... | ... | ... | ... | *#jˈɔkʊ# | *#jˈɔkʊ# | *#jˈɔk# {GOLD: >*} | *#jˈɔk# {GOLD: >*} | *#jˈɔk# {GOLD: >*} | *#jˈɔk# | *#jˈɔk# {GOLD: #hˈɔkə#}
39     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˈɔːrə# {GOLD: >*} | *#hˈɔːɾə# {GOLD: >*} | *#hˈɔɾə# {GOLD: >*} | *#hˈɔɾə# | *#hˈɔɾə# {GOLD: #hˈɔɾə#}
40     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# {GOLD: >*} | *#həkˈat# {GOLD: >*} | *#həkˈat# | *#həkˈat# {GOLD: #hukˈat#}
41     | ... | ... | ... | ... | ... | *#ˌɑltˈɑrɛ# | *#əltˈie̯rɛ# | *#əltˈie̯rɛ# | *#əltˈie̯rɛ# | *#həltˈie̯r# {GOLD: #l̩tˈɛːɾ#} | *#həltˈie̯ɾ# {GOLD: >*} | *#həltˈie̯ɾ# {GOLD: #əltˈɛɾ#} | *#həltˈie̯ɾ# | *#həltˈie̯ɾ# {GOLD: #əltˈɛɾ#}
42     | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌarsˈɛnɪka# | *#hˌarsˈɛ̃ːnkə# {GOLD: >*} | *#hˌaɾsˈɛ̃ːnkə# {GOLD: >*} | *#həɾsˈɛnkə# {GOLD: >*} | *#həɾsˈɛnkə# | *#həɾsˈɛnkə# {GOLD: #əɾsˈiŋɡə#}
43     | ... | ... | ... | ... | ... | ... | ... | *#ˈɑnɟɛlu# | *#ˈɑnɟɛlu# | *#hˈãːnɟɛl# {GOLD: >*} | *#hˈəːnɟɛl# {GOLD: >*} | *#hˈənɟɛl# {GOLD: >*} | *#hˈənɟɛl# | *#hˈənɟɛl# {GOLD: #ˈəɲɟəlˠ#}
44     | ... | ... | ... | ... | ... | *#ˈɑɡreon# | *#ˈɛɡrɛɔn# | *#ˈɛɡrɛɔn# | *#ˈɛɡrɛɔn# | *#hˈɛɡrɛɔ̃# {GOLD: >*} | *#hˈɛɡɾɛɔ̃# {GOLD: >*} | *#hˈɛɡɾɛə# {GOLD: >*} | *#hˈɛɡɾɛə# | *#hˈɛɡɾɛə# {GOLD: #ˈɛɡəɾ#}
45     | ... | ... | ... | ... | ... | *#ˈɑnɡɛlu# | *#ˈɛnɡɛlu# | *#ˈɛnɟɛlu# | *#ˈɛnɟɛlu# | *#hˈɛ̃ːnɟɛl# {GOLD: >*} | *#hˈɛ̃ːnɟɛl# {GOLD: >*} | *#hˈɛnɟɛl# {GOLD: >*} | *#hˈɛnɟɛl# | *#hˈɛnɟɛl# {GOLD: #ˈɛɲɟəlˠ#}
46     | ... | ... | ... | ... | *#ˈeːskɑ# | *#ˈiskɑ# | *#ˈiskɑ# | *#ˈiʃkɑ# | *#ˈiʃkɑ# | *#hˈiːʃkə# {GOLD: >*} | *#hˈiːʃkə# {GOLD: >*} | *#hˈiʃkə# {GOLD: >*} | *#hˈit͡ʃkə# | *#hˈit͡ʃkə# {GOLD: #ˈɛʃkə#}
47     | ... | ... | ... | *#ˌɑː̹ˈerɑ# | *#βˌɑː̹ˈerɑ# | *#βˌɤ̹ˈɛrɑ# | *#βəjˈɛrɑ# | *#βəjˈɛrɑ# | *#βəjˈɛrɑ# | *#vəjˈɛːrə# {GOLD: >*} | *#vəjˈɛːɾə# {GOLD: >*} | *#vəjˈɛɾə# {GOLD: >*} | *#vəjˈɛɾə# | *#vəjˈɛɾə# {GOLD: #ˈɛɾə#}
48     | ... | ... | ... | ... | *#ˈɑmətɑ# | *#ˈɑmtɑ# | *#ˈɑmtɑ# | *#ˈɑmtɑ# | *#ˈɑmtɑ# | *#hˈãːmtə# {GOLD: #ˈæ̃mətə#} | *#hˈəːmtə# {GOLD: >*} | *#hˈəmtə# {GOLD: >*} | *#hˈəmtə# | *#hˈəmtə# {GOLD: #ˈɛmtə#}
49     | ... | ... | ... | ... | *#ɟˌɑːnwˈɑːrju# | *#ɟˌɑnwˈɑrju# | *#ɟənwˈɛrju# | *#ɟənwˈɛrju# | *#ɟənwˈɛrju# | *#ɟə̃vˈɛːrj# {GOLD: >*} | *#ɟə̃vˈɛːɾj# {GOLD: >*} | *#ɟəvˈɛɾj# {GOLD: >*} | *#ɟəvˈɛɾj# | *#ɟəvˈɛɾj# {GOLD: #janˈaɾ#}
50     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˌarˈĩːnə# {GOLD: >*} | *#jˌaɾˈĩːɾə# {GOLD: >*} | *#jəɾˈiɾə# {GOLD: >*} | *#jəɾˈiɾə# | *#jəɾˈiɾə# {GOLD: #jaɾˈinə#}
51     | ... | ... | ... | ... | ... | ... | ... | *#jˌɑrˈɒwʊ# | *#jˌɑrˈɒwʊ# | *#jˌarˈaw# {GOLD: >*} | *#jˌaɾˈaw# {GOLD: >*} | *#jəɾˈaw# {GOLD: >*} | *#jəɾˈaw# | *#jəɾˈaw# {GOLD: #jaɾˈua̯#}
52     | ... | ... | ... | ... | ... | ... | ... | *#ˈæzʊ# | *#ˈæzʊ# | *#hˈɛːz# {GOLD: >*} | *#hˈɛːz# {GOLD: >*} | *#hˈɛs# {GOLD: >*} | *#hˈɛs# | *#hˈɛs# {GOLD: #jˈaz#}
53     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈaːr# {GOLD: >*} | *#jˈaːɾ# {GOLD: >*} | *#jˈaɾ# {GOLD: >*} | *#jˈaɾ# | *#jˈaɾ# {GOLD: #jˈaɾm#}
54     | ... | ... | ... | ... | ... | *#ˈɛxon# | *#jˈɛxɔn# | *#jˈɛxɔn# | *#jˈɛxɔn# | *#jˈɛxɔ̃# {GOLD: >*} | *#jˈɛhɔ̃# {GOLD: >*} | *#jˈɛhə# {GOLD: >*} | *#jˈɛhə# | *#jˈɛhə# {GOLD: #jˈɛh#}
55     | ... | ... | ... | ... | *#ˈɛtətɑ# | *#ˈɛttɑ# | *#jˈɛttɑ# | *#jˈɛttɑ# | *#jˈɛttɑ# | *#jˈɛttə# {GOLD: >*} | *#jˈɛttə# {GOLD: >*} | *#jˈɛttə# {GOLD: >*} | *#jˈɛttə# | *#jˈɛttə# {GOLD: #jˈɛtə#}
56     | ... | ... | ... | ... | ... | ... | ... | *#ˈɛzɛrʊ# | *#ˈɛzɛrʊ# | *#hˈɛːzɛr# {GOLD: >*} | *#hˈɛːzɛɾ# {GOLD: >*} | *#hˈɛzɛɾ# {GOLD: >*} | *#hˈɛzɛɾ# | *#hˈɛzɛɾ# {GOLD: #jˈɛzəɾ#}
57     | ... | ... | ... | *#ˈɛːremon# | *#ˈɛːrəmo# | *#ˈɛrmo# | *#jˈɛrmɔ# | *#jˈɛrmɔ# | *#jˈɛrmɔ# | *#jˈɛːrmb# {GOLD: #jˈɛɾəm#} | *#jˈɛːɾmb# {GOLD: >*} | *#jˈɛɾmb# {GOLD: >*} | *#jˈɛɾmb# | *#jˈɛɾmb# {GOLD: #jˈɛɾm#}
58     | ... | ... | ... | ... | ... | *#jˌoðˈɛfo# | *#jəðjˈɛfɔ# | *#jəðjˈɛfɔ# | *#jəðjˈɛfɔ# | *#jəðjˈɛːf# {GOLD: >*} | *#jəðjˈɛːf# {GOLD: >*} | *#jəðjˈɛf# {GOLD: >*} | *#jəðjˈɛf# | *#jəðjˈɛf# {GOLD: #jɔzˈɛf#}
59     | ... | ... | ... | ... | ... | *#jˌoðˈefo# | *#jəðˈɛfɔ# | *#jəðˈɛfɔ# | *#jəðˈɛfɔ# | *#jəðˈɛːf# {GOLD: >*} | *#jəðˈɛːf# {GOLD: >*} | *#jəðˈɛf# {GOLD: >*} | *#jəðˈɛf# | *#jəðˈɛf# {GOLD: #jɔzˈif#}
60     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# | *#jˈuɡ# {GOLD: #jˈuɡ#}
61     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈud# {GOLD: >*} | *#jˈud# {GOLD: >*} | *#jˈud# {GOLD: >*} | *#jˈud# | *#jˈud# {GOLD: #jˈud#}
62     | ... | ... | ... | ... | *#ˌiːʎikˈeːtu# | *#ˌiʎekˈetu# | *#ʎəkˈɛtu# | *#ʎəcˈɛtu# | *#ʎəcˈɛtu# | *#ʎcˈɛt# {GOLD: >*} | *#ʎcˈɛt# {GOLD: >*} | *#jcˈɛt# {GOLD: >*} | *#jcˈɛt# | *#jt͡ʃˈɛt# {GOLD: #ilcˈɛt#}
63     | ... | ... | ... | ... | *#ˈiːʎɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#ˈiʎɑ# | *#hˈiːʎə# {GOLD: >*} | *#hˈiːʎə# {GOLD: >*} | *#hˈijə# {GOLD: >*} | *#hˈijə# | *#hˈijə# {GOLD: #ˈijə#}
64     | ... | ... | ... | *#ˈejsɑmmon# | *#ˈejsəmmo# | *#ˈɛjsmmo# | *#ˈijsmmɔ# | *#ˈijʃmmɔ# | *#ˈijʃmmɔ# | *#hˈijʒmmb# {GOLD: >*} | *#hˈijʒmmb# {GOLD: >*} | *#hˈijʒmmb# {GOLD: >*} | *#hˈijʒmmb# | *#hˈijʒmmb# {GOLD: #ˈiʃəm#}
65     | ... | ... | ... | ... | *#ˈiːsəlːɑ# | *#ˈislːɑ# | *#ˈislːɑ# | *#ˈiʃlːɑ# | *#ˈiʃlːɑ# | *#hˈiːʒlːə# {GOLD: >*} | *#hˈiːʒlˠə# {GOLD: >*} | *#hˈiʒlˠə# {GOLD: >*} | *#hˈiʒlˠə# | *#hˈiʒlˠə# {GOLD: #ˈiʃulˠ#}
66     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈɪːskrə# {GOLD: >*} | *#jˈɪːskɾə# {GOLD: >*} | *#jˈɪskɾə# {GOLD: >*} | *#jˈɪskɾə# | *#jˈɪskɾə# {GOLD: #ˈiskəɾ#}
67     | ... | ... | ... | ... | *#ˈiːʎəke# | *#ˈiʎkɛ# | *#ˈiʎkɛ# | *#ˈiʎcɛ# | *#ˈiʎcɛ# | *#hˈiːʎc# {GOLD: >*} | *#hˈiːʎc# {GOLD: >*} | *#hˈijc# {GOLD: >*} | *#hˈijc# | *#hˈijt͡ʃ# {GOLD: #ˈilc#}
68     | ... | ... | ... | ... | *#ˈiːrɑ# | *#ˈirɑ# | *#ˈirɑ# | *#ˈirɑ# | *#ˈirɑ# | *#hˈiːrə# {GOLD: >*} | *#hˈiːɾə# {GOLD: >*} | *#hˈiɾə# {GOLD: >*} | *#hˈiɾə# | *#hˈiɾə# {GOLD: #ˈiɾə#}
69     | ... | ... | ... | ... | *#ˌeːrˈiːkju# | *#ˌerˈikju# | *#rˈikju# | *#rˈicju# | *#rˈicju# | *#rˈicj# {GOLD: >*} | *#ɾˈicj# {GOLD: >*} | *#ɾˈicj# {GOLD: >*} | *#ɾˈicj# | *#ɾˈit͡ʃj# {GOLD: #ˈiɾic#}
70     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˈiːvə# {GOLD: >*} | *#hˈiːvə# {GOLD: >*} | *#hˈivə# {GOLD: >*} | *#hˈivə# | *#hˈivə# {GOLD: #ˈivə#}
71     | ... | ... | ... | ... | *#ˌuːnktˈuːrɑ# | *#ˌynktˈyrɑ# | *#ənktˈyrɑ# | *#ənftˈyrɑ# | *#ənftˈyrɑ# | *#hə̃ftˈyːrə# {GOLD: >*} | *#hə̃ftˈyːɾə# {GOLD: >*} | *#həftˈyɾə# {GOLD: >*} | *#həftˈyɾə# | *#həftˈyɾə# {GOLD: #yndˈyɾə#}
72     | ... | ... | ... | ... | ... | *#ˌeweʎˈoɲø# | *#wəʎˈɔɲɛ# | *#wəʎˈɔɲɛ# | *#wəʎˈɔɲɛ# | *#wəʎˈɔ̃ːɲ# {GOLD: >*} | *#wəʎˈɔ̃ːɲ# {GOLD: >*} | *#wəjˈɔɲ# {GOLD: >*} | *#wəjˈɔɲ# | *#wəjˈɔɲ# {GOLD: #ˈye̯j#}
73     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌabkˈitə# {GOLD: >*} | *#hˌabkˈitə# {GOLD: >*} | *#həbkˈitə# {GOLD: >*} | *#həbcˈitə# | *#həbt͡ʃˈitə# {GOLD: #ɔkˈitə#}
74     | ... | ... | ... | ... | ... | ... | ... | *#ˌɒɡrˈɒ?1̬ɑ# | *#ˌɒɡrˈɒ?1̬ɑ# | *#hˌaɡrˈa?1̬ə# {GOLD: >*} | *#hˌaɡɾˈa?1̬ə# {GOLD: >*} | *#həɡɾˈa?1̬ə# {GOLD: >*} | *#həɡɾˈa?1̬ə# | *#həɡɾˈa?1̬ə# {GOLD: #ɔɡɾˈajə#}
