etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
514    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˌɛtˈĩːnə# {GOLD: >*} | *#t͡ʃˌɛtˈĩːɾə# {GOLD: >*} | *#t͡ʃətˈiɾə# {GOLD: >*} | *#t͡ʃətˈiɾə# | *#t͡ʃətˈiɾə# {GOLD: #t͡ʃɛtˈinə#}
515    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˌɛlˈit# {GOLD: >*} | *#t͡ʃˌɛlˈit# {GOLD: >*} | *#t͡ʃəlˈit# {GOLD: >*} | *#t͡ʃəlˈit# | *#t͡ʃəlˈit# {GOLD: #t͡ʃɛlˈit#}
516    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˌɛlnˈik# {GOLD: >*} | *#t͡ʃˌɛlnˈik# {GOLD: >*} | *#t͡ʃəlnˈik# {GOLD: >*} | *#t͡ʃəlnˈik# | *#t͡ʃəlnˈik# {GOLD: #t͡ʃɛlnˈik#}
517    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˈɛtə# {GOLD: >*} | *#t͡ʃˈɛtə# {GOLD: >*} | *#t͡ʃˈɛtə# {GOLD: >*} | *#t͡ʃˈɛtə# | *#t͡ʃˈɛtə# {GOLD: #t͡ʃˈɛtə#}
518    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˈɛːlə# {GOLD: >*} | *#t͡ʃˈɛːlə# {GOLD: >*} | *#t͡ʃˈɛlə# {GOLD: >*} | *#t͡ʃˈɛlə# | *#t͡ʃˈɛlə# {GOLD: #t͡ʃˈɛlə#}
519    | ... | ... | ... | ... | ... | ... | ... | *#?2ˈɛrdɑ# | *#?2ˈɛrdɑ# | *#?2ˈɛːrdə# {GOLD: >*} | *#?2ˈɛːɾdə# {GOLD: >*} | *#?2ˈɛɾdə# {GOLD: >*} | *#?2ˈɛɾdə# | *#?2ˈɛɾdə# {GOLD: #t͡ʃˈɛɾðə#}
520    | ... | ... | ... | ... | ... | ... | ... | *#?2ˈɪrnʊ# | *#?2ˈɪrnʊ# | *#?2ˈɪːrn# {GOLD: >*} | *#?2ˈɪːɾn# {GOLD: >*} | *#?2ˈɪɾn# {GOLD: >*} | *#?2ˈɪɾn# | *#?2ˈɪɾn# {GOLD: #t͡ʃˈɛr#}
521    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˌarnavˈadə# {GOLD: >*} | *#t͡ʃˌaravˈadə# {GOLD: >*} | *#t͡ʃˌarəvˈadə# {GOLD: >*} | *#t͡ʃarəvˈadə# | *#t͡ʃarəvˈadə# {GOLD: #t͡ʃɔɾɔvˈɔdə#}
522    | ... | ... | ... | ... | *#ˌekskjˈeːɲoː# | *#ˌɛkskjˈeɲø# | *#kskjˈɛɲɛ# | *#fʃcjˈɛɲɛ# | *#fʃcjˈɛɲɛ# | *#fʃcjˈɛ̃ːɲ# {GOLD: >*} | *#fʃcjˈɛ̃ːɲ# {GOLD: >*} | *#fʃcjˈɛɲ# {GOLD: >*} | *#ft͡ʃcjˈɛɲ# | *#ft͡ʃt͡ʃjˈɛɲ# {GOLD: #t͡ʃˈɔj#}
523    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡ʃˌudˈit# {GOLD: >*} | *#t͡ʃˌudˈit# {GOLD: >*} | *#t͡ʃədˈit# {GOLD: >*} | *#t͡ʃədˈit# | *#t͡ʃədˈit# {GOLD: #t͡ʃudˈit#}
