etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌarɡˈaːvə# {GOLD: >*} | *#hˌaɾɡˈaːvə# | *#həɾɡˈavə# | *#həɾɡˈavə# | *#həɾɡˈavə# {GOLD: #aɾɡˈɔvə#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌarkˈitə# {GOLD: >*} | *#hˌaɾkˈitə# | *#həɾkˈitə# | *#həɾcˈitə# | *#həɾt͡ʃˈitə# {GOLD: #aɾcˈitə#}
2      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌardɛ̃nˈiːt͡sə# {GOLD: >*} | *#hˌaɾdɛ̃ɾˈiːt͡sə# | *#hˌaɾdəɾˈit͡sə# | *#haɾdəɾˈit͡sə# | *#haɾdəɾˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
3      | ... | ... | ... | ... | ... | ... | ... | *#ˌɑwˈitɪ# | *#ˌɑwˈitɪ# | *#hˌawˈit# {GOLD: #ˌavˈit#} | *#hˌawˈit# | *#həwˈit# | *#həwˈit# | *#həwˈit# {GOLD: #avˈit#}
4      | ... | ... | ... | ... | ... | ... | ... | *#xˌɒrbˈɪlɪ# | *#xˌɒrbˈɪlɪ# | *#xˌarbˈɪːl# {GOLD: >*} | *#hˌaɾbˈɪːl# | *#həɾbˈɪl# | *#həɾbˈɪl# | *#həɾbˈɪl# {GOLD: #haɾabˈɛl#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌabˈit# {GOLD: >*} | *#hˌabˈit# | *#həbˈit# | *#həbˈit# | *#həbˈit# {GOLD: #habˈit#}
6      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌitˈat# {GOLD: >*} | *#hˌitˈat# | *#hətˈat# | *#hətˈat# | *#hətˈat# {GOLD: #hitˈat#}
7      | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌɒrmˈɒβɑ# | *#xˌarmˈaːvə# {GOLD: #xˌɒrmˈɔvə#} | *#hˌaɾmˈaːvə# | *#həɾmˈavə# | *#həɾmˈavə# | *#həɾmˈavə# {GOLD: #hɔɾmˈɔvə#}
8      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˈɔːrə# {GOLD: >*} | *#hˈɔːɾə# | *#hˈɔɾə# | *#hˈɔɾə# | *#hˈɔɾə# {GOLD: #hˈɔɾə#}
9      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# | *#həkˈat# | *#həkˈat# | *#həkˈat# {GOLD: #hukˈat#}
10     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˌarˈĩːnə# {GOLD: >*} | *#jˌaɾˈĩːɾə# | *#jəɾˈiɾə# | *#jəɾˈiɾə# | *#jəɾˈiɾə# {GOLD: #jaɾˈinə#}
11     | ... | ... | ... | ... | ... | ... | ... | *#jˌɑrˈɒwʊ# | *#jˌɑrˈɒwʊ# | *#jˌarˈaw# {GOLD: >*} | *#jˌaɾˈaw# | *#jəɾˈaw# | *#jəɾˈaw# | *#jəɾˈaw# {GOLD: #jaɾˈua̯#}
12     | ... | ... | ... | ... | ... | ... | ... | *#ˈæzʊ# | *#ˈæzʊ# | *#hˈɛːz# {GOLD: >*} | *#hˈɛːz# | *#hˈɛs# | *#hˈɛs# | *#hˈɛs# {GOLD: #jˈaz#}
13     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈaːr# {GOLD: >*} | *#jˈaːɾ# | *#jˈaɾ# | *#jˈaɾ# | *#jˈaɾ# {GOLD: #jˈaɾm#}
14     | ... | ... | ... | ... | ... | ... | ... | *#ˈɛzɛrʊ# | *#ˈɛzɛrʊ# | *#hˈɛːzɛr# {GOLD: >*} | *#hˈɛːzɛɾ# | *#hˈɛzɛɾ# | *#hˈɛzɛɾ# | *#hˈɛzɛɾ# {GOLD: #jˈɛzəɾ#}
15     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# | *#jˈuɡ# | *#jˈuɡ# | *#jˈuɡ# {GOLD: #jˈuɡ#}
16     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈud# {GOLD: >*} | *#jˈud# | *#jˈud# | *#jˈud# | *#jˈud# {GOLD: #jˈud#}
17     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˈɪːskrə# {GOLD: >*} | *#jˈɪːskɾə# | *#jˈɪskɾə# | *#jˈɪskɾə# | *#jˈɪskɾə# {GOLD: #ˈiskəɾ#}
18     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˈiːvə# {GOLD: >*} | *#hˈiːvə# | *#hˈivə# | *#hˈivə# | *#hˈivə# {GOLD: #ˈivə#}
19     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌabkˈitə# {GOLD: >*} | *#hˌabkˈitə# | *#həbkˈitə# | *#həbcˈitə# | *#həbt͡ʃˈitə# {GOLD: #ɔkˈitə#}
