etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrɡˈɒβɑ# | *#ˌaɾɡˈɔvə# {GOLD: >*} | *#ˌaɾɡˈɔvə# | *#aɾɡˈɔvə# | *#aɾɡˈɔvə# {GOLD: #aɾɡˈɔvə#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrkˈɨtɑ# | *#ˌaɾkˈitə# {GOLD: >*} | *#ˌaɾkˈitə# | *#aɾkˈitə# | *#aɾcˈitə# {GOLD: #aɾcˈitə#}
2      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrdɛnˈit͡sɑ# | *#ˌaɾdɛnˈit͡sə# {GOLD: >*} | *#ˌaɾdɛnˈit͡sə# | *#aɾdɛnˈit͡sə# | *#aɾdɛnˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
3      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɑβˈitɪ# | *#ˌavˈit# {GOLD: >*} | *#ˌavˈit# | *#avˈit# | *#avˈit# {GOLD: #avˈit#}
4      | ... | ... | ... | ... | ... | ... | #xˌɒrbˈɪlɪ# | *#xˌɑɾˌɑbˈɪlɪ# | *#xˌɑɾˌɑbˈɛːlə# | *#xˌaɾˌabˈɛːl# {GOLD: >*} | *#hˌaɾˌabˈɛːl# | *#haɾabˈɛl# | *#haɾabˈɛl# {GOLD: #haɾabˈɛl#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | #xˌɑbˈitɪ# | *#xˌabˈit# {GOLD: >*} | *#hˌabˈit# | *#habˈit# | *#habˈit# {GOLD: #habˈit#}
6      | ... | ... | ... | ... | ... | ... | ... | ... | #xˌɨtˈɑtɪ# | *#xˌitˈat# {GOLD: >*} | *#hˌitˈat# | *#hitˈat# | *#hitˈat# {GOLD: #hitˈat#}
7      | ... | ... | ... | ... | ... | ... | ... | #xˌɒɾmˈɒβɑ# | *#xˌɒɾmˈɒvɑ# | *#xˌɔɾmˈɔvə# {GOLD: #xˌɒrmˈɔvə#} | *#hˌɔɾmˈɔvə# | *#hɔɾmˈɔvə# | *#hɔɾmˈɔvə# {GOLD: #hɔɾmˈɔvə#}
8      | ... | ... | ... | ... | ... | ... | ... | ... | #xˈɔːrɑ# | *#xˈɔːɾə# {GOLD: >*} | *#hˈɔːɾə# | *#hˈɔɾə# | *#hˈɔɾə# {GOLD: #hˈɔɾə#}
9      | ... | ... | ... | ... | ... | ... | ... | ... | #xˌukˈɑtɪ# | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# | *#hukˈat# | *#hukˈat# {GOLD: #hukˈat#}
10     | ... | ... | ... | ... | ... | ... | ... | ... | #jˌɑrˈinɑ# | *#jˌaɾˈinə# {GOLD: >*} | *#jˌaɾˈinə# | *#jaɾˈinə# | *#jaɾˈinə# {GOLD: #jaɾˈinə#}
11     | ... | ... | ... | ... | ... | ... | #jˌɑrˈɒwʊ# | *#jˌɑɾˈɔə̯# | *#jˌɑɾˈuo̯# | *#jˌaɾˈuo̯# {GOLD: >*} | *#jˌaɾˈua̯# | *#jaɾˈua̯# | *#jaɾˈua̯# {GOLD: #jaɾˈua̯#}
12     | ... | ... | ... | ... | ... | ... | #ˈæzʊ# | *#jˈazə# | *#jˈaːzə# | *#jˈaːz# {GOLD: >*} | *#jˈaːz# | *#jˈaz# | *#jˈaz# {GOLD: #jˈaz#}
13     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈɑrɪmʊ# | *#jˈaɾm# {GOLD: >*} | *#jˈaɾm# | *#jˈaɾm# | *#jˈaɾm# {GOLD: #jˈaɾm#}
14     | ... | ... | ... | ... | ... | ... | #ˈɛzɛrʊ# | *#ˈɛːzɛɾə# | *#ˈie̯zəɾə# | *#jˈɛzɾ̩# {GOLD: >*} | *#jˈɛzɾ̩# | *#jˈɛzɾ̩# | *#jˈɛzəɾ# {GOLD: #jˈɛzəɾ#}
15     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈuɡʊ# | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# | *#jˈuɡ# | *#jˈuɡ# {GOLD: #jˈuɡ#}
16     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈudʊ# | *#jˈud# {GOLD: >*} | *#jˈud# | *#jˈud# | *#jˈud# {GOLD: #jˈud#}
17     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈɪskrɑ# | *#ˈiskɾ̩# {GOLD: >*} | *#ˈiskɾ̩# | *#ˈiskɾ̩# | *#ˈiskəɾ# {GOLD: #ˈiskəɾ#}
18     | ... | ... | ... | ... | ... | ... | ... | ... | #ˈiβɑ# | *#ˈivə# {GOLD: >*} | *#ˈivə# | *#ˈivə# | *#ˈivə# {GOLD: #ˈivə#}
19     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒbʊkˈɨtɑ# | *#ˌɔkˈitə# {GOLD: >*} | *#ˌɔkˈitə# | *#ɔkˈitə# | *#ɔcˈitə# {GOLD: #ɔkˈitə#}
20     | ... | ... | ... | ... | ... | ... | #ˌɒɡrˈɒdjɑ# | *#ˌɒːɡɾˈɑʎɑ# | *#ˌɒːɡɾˈɑːʎɑ# | *#ˌɔːɡɾˈaːʎə# {GOLD: >*} | *#ˌɔːɡɾˈaːʎə# | *#ɔɡɾˈajə# | *#ɔɡɾˈajə# {GOLD: #ɔɡɾˈajə#}
21     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒtˈɑβɑ# | *#ˌɔtˈavə# {GOLD: >*} | *#ˌɔtˈavə# | *#ɔtˈavə# | *#ɔtˈavə# {GOLD: #ɔtˈavə#}
22     | ... | ... | ... | ... | ... | ... | #ˌɒrɒ̃dˈɪjɛ# | *#ˌɒːɾˌɑ̃ndˈɪjɛ# | *#ˌɒːɾˌɑ̃ndˈɪjɛ# | *#ˌɔːɾˌʌ̃ndˈi# {GOLD: >*} | *#ˌɔːɾˌə̃ndˈi# | *#ɔɾəndˈi# | *#ɔɾəndˈi# {GOLD: #ɔɾəndˈi#}
23     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒbʊrˈɒkʊ# | *#ˌɔbɾˈɔk# {GOLD: >*} | *#ˌɔbɾˈɔk# | *#ɔbɾˈɔk# | *#ɔbɾˈɔk# {GOLD: #ɔɾˈɔk#}
24     | ... | ... | ... | ... | ... | ... | #ˌɒbʊpˈɪnʊkɑ# | *#ˌɒpˈɪ̃nkɑ# | *#ˌɒpˈãnɡɑ# | *#ˌɔpˈʌ̃ŋɡə# {GOLD: #ˌɒpˈɑ̃nkə#} | *#ˌɔpˈə̃ɲ̈ɡə# | *#ɔpˈəɲ̈ɡə# | *#ɔpˈəŋɡə# {GOLD: #ɔpˈəŋɡə#}
25     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒbβˈɒrʊ# | *#ˌɔbˈɔɾ# {GOLD: >*} | *#ˌɔbˈɔɾ# | *#ɔbˈɔɾ# | *#ɔbˈɔɾ# {GOLD: #ɔbˈɔr#}
26     | ... | ... | ... | ... | ... | ... | #ˌɒblˈɒ̃kʊ# | *#ˌɒblˈɑ̃nkə# | *#ˌɒblˈɑ̃nɡə# | *#ˌɔblˈʌ̃ŋɡ# {GOLD: #ˌɒblˠˈɑ̃nk#} | *#ˌɔblˈə̃ɲ̈ɡ# | *#ɔblˈəɲ̈ɡ# | *#ɔblˈəŋɡ# {GOLD: #ɔblˠˈəŋɡ#}
27     | ... | ... | ... | ... | ... | ... | ... | ... | #ˈɔjiʃtɛ# | *#ˈɔiʃtə# {GOLD: >*} | *#ˈɔiʃtə# | *#ˈɔiʃtə# | *#ˈɔiʃtə# {GOLD: #ˈɔʃtə#}
28     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃurˈɛlʊ# | *#kˌat͡ʃuɾˈɛl# {GOLD: >*} | *#kˌat͡ʃuɾˈɛl# | *#kat͡ʃuɾˈɛl# | *#kat͡ʃuɾˈɛl# {GOLD: #kat͡ʃurˈɛl#}
29     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃˈulʊ# | *#kˌat͡ʃˈul# {GOLD: >*} | *#kˌat͡ʃˈul# | *#kat͡ʃˈul# | *#kat͡ʃˈul# {GOLD: #kat͡ʃˈul#}
30     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃˈubɑ# | *#kˌat͡ʃˈubə# {GOLD: >*} | *#kˌat͡ʃˈubə# | *#kat͡ʃˈubə# | *#kat͡ʃˈubə# {GOLD: #kat͡ʃˈubə#}
31     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɒt͡ʃˈubɛlɪ# | *#kˌat͡ʃˈubl̩# {GOLD: >*} | *#kˌat͡ʃˈubl̩# | *#kat͡ʃˈubl̩# | *#kat͡ʃˈubəl# {GOLD: #kat͡ʃˈubəl#}
32     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑdˈitɪ# | *#kˌadˈit# {GOLD: >*} | *#kˌadˈit# | *#kadˈit# | *#kadˈit# {GOLD: #kadˈit#}
33     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑstrɑβˈɪt͡sɪ# | *#kˌastɾavˈɛt͡s# {GOLD: >*} | *#kˌastɾavˈɛt͡s# | *#kastɾavˈɛt͡s# | *#kastɾavˈɛt͡s# {GOLD: #kastɾavˈɛt͡s#}
34     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑsnˈɪt͡sɪ# | *#kˌasnˈɛt͡s# {GOLD: >*} | *#kˌasnˈɛt͡s# | *#kasnˈɛt͡s# | *#kasnˈɛt͡s# {GOLD: #kasnˈɛt͡s#}
35     | ... | ... | ... | ... | ... | ... | ... | ... | #kˌɑlibˈɒbʊ# | *#kˌalibˈɔb# {GOLD: >*} | *#kˌalibˈɔb# | *#kalibˈɔb# | *#kalibˈɔb# {GOLD: #kalibˈɔb#}
36     | ... | ... | ... | ... | ... | ... | #kˌɒlˈɨbɑ# | *#kˌɑlˈɨbɑ# | *#kˌɑlˈibɑ# | *#kˌalˈibə# {GOLD: >*} | *#kˌalˈibə# | *#kalˈibə# | *#kalˈibə# {GOLD: #kalˈibə#}
37     | ... | ... | ... | ... | ... | ... | #kˌɒrwˈɑʎɑ# | *#kˌɑɾˌɑwˈɑʎɑ# | *#kˌɑɾˌɑwˈɑːʎɑ# | *#kˌaɾˌawˈɛːlːə# {GOLD: #kˌɒɾˌɒvˈɛlə#} | *#kˌaɾˌavˈɛːlːə# | *#kaɾavˈɛlə# | *#kaɾavˈɛlə# {GOLD: #kaɾavˈɛlə#}
38     | ... | ... | ... | ... | ... | ... | #kˌɒrˈɪt͡sɑ# | *#kˌɑɾˈɪt͡sɑ# | *#kˌɑɾˈɪːt͡sɑ# | *#kˌaɾˈit͡sə# {GOLD: #kˌɒɾˈit͡sə#} | *#kˌaɾˈit͡sə# | *#kaɾˈit͡sə# | *#kaɾˈit͡sə# {GOLD: #kaɾˈit͡sə#}
39     | ... | ... | ... | ... | ... | ... | #kˌɒrˈɯtɒ# | *#kˌɑɾˈɯtɒ# | *#kˌɑɾˈutɒ# | *#kˌaɾˈutə# {GOLD: >*} | *#kˌaɾˈutə# | *#kaɾˈutə# | *#kaɾˈutə# {GOLD: #karˈutə#}
