etID  | Middle Proto-Albanian | Late Proto-Albanian |  Proto-Tosk |  Old Northern Tosk Albanian | Output [REFERENCE]
418    | #kˌentrˈɑːɲoː# | #kəndrˈɔːɲ# | #kə̃ndɾˈɔ̃ːɲ# | #kəndɾˈɔɲ# | #kəndɾˈɔj# {GOLD: #cɛndɾˈɔj#}
419    | #kˈeːpɑ# | #cˈɛpə# | #cˈɛpə# | #cˈɛpə# | #cˈɛpə# {GOLD: #cˈepə#}
420    | #kˌeːpˈulɑ# | #kəpˈuːlə# | #kəpˈuːlə# | #kəpˈulə# | #kəpˈulə# {GOLD: #cɛpˈulɛ#}
421    | #kˌerɑsjˈɑːrju# | #kərəʃˈɛːrj# | #kəɾəʃˈɛːɾj# | #kəɾəʃˈɛɾj# | #kəɾəʃˈɛɾj# {GOLD: #cɛɾʃˈɔɾ#}
422    | #kˌerebˈelu# | #kərbˈɛːl# | #kəɾbˈɛːl# | #kəɾbˈɛl# | #kəɾbˈɛl# {GOLD: #kɾˈɛl#}
423    | #kˌerˈebru# | #kərˈɛr# | #kəɾˈɛɾ# | #kəɾˈɛɾ# | #kəɾˈɛɾ# {GOLD: #kɾˈyɛ#}
424    | #kˌerˈesjɑ# | #kərˈiːʃe# | #kəɾˈiːʃe# | #kəɾˈiʃe# | #kəɾˈiʃe# {GOLD: #cɛɾʃˈi#}
425    | #kˈerːu# | #cˈɛːrː# | #cˈɛːr# | #cˈɛr# | #cˈɛr# {GOLD: #cˈar#}
426    | #kˌerːˈeːtu# | #kərːˈɛt# | #kərˈɛt# | #kərˈɛt# | #kərˈɛt# {GOLD: #cɛrˈɛt#}
427    | #kˌersˈidrɑ# | #kərʃˈɛdrə# | #kəɾʃˈɛdɾə# | #kəɾʃˈɛdɾə# | #kəɾʃˈɛdɾə# {GOLD: #kulʃˈɛdəɾ#}
428    | #kˌertˈɑːɲoː# | #kərtˈɔːɲ# | #kəɾtˈɔ̃ːɲ# | #kəɾtˈɔɲ# | #kəɾtˈɔj# {GOLD: #cəɾtˈɔj#}
429    | #kjˈeːɲoː# | #cˈɛːɲ# | #cˈɛ̃ːɲ# | #cˈɛɲ# | #cˈɛj# {GOLD: #cˈɔj#}
430    | #kˌiːkˈɑːlˠɑ# | #kəkˈaːlˠə# | #kəkˈaːlˠə# | #kəkˈalˠə# | #kəkˈalˠə# {GOLD: #ɟinkˈalˠə#}
431    | #kˈikəre# | #cˈikr# | #cˈikɾ# | #cˈikɾ# | #cˈikɾ# {GOLD: #cˈicəɾ#}
432    | #kˌikˈorjɑ# | #kəcˈɛːre# | #kəcˈɛːɾe# | #kəcˈɛɾe# | #kəcˈɛɾe# {GOLD: #kˈɔɾɛ#}
433    | #kˌikˈuːtɑ# | #kəcˈytə# | #kəcˈytə# | #kəcˈytə# | #kəcˈytə# {GOLD: #kukˈutə#}
434    | #kˈiːməke# | #cˈiːmɟ# | #cˈĩːmɟ# | #cˈimɟ# | #cˈimɟ# {GOLD: #cˈimkə#}
435    | #kˌimˈussɑ# | #kəmˈuːʃʃə# | #kə̃mˈuːʃʃə# | #kəmˈuʃʃə# | #kəmˈuʃʃə# {GOLD: #cimˈuʃə#}
