etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | #kˌoɡnˈoːskit# | *#kˌʊŋnˈoːskɪ# | *#kˌuŋnˈøske# | *#kˌuŋnˈøscɪ# | *#kˌũːŋnˈœʃcɪ# | *#kˌũːŋnˈɛːʃcə# | *#kˌũːnːˈɛːʃc# | *#kˌũːnˈɛːʃc# | *#kunˈɛʃc# | *#kunˈɛʃc#
1      | #kˌoɡnˈoːsket# | *#kˌʊŋnˈoːskɛ# | *#kˌuŋnˈøskɛ# | *#kˌuŋnˈøscɪ# | *#kˌũːŋnˈœʃcɪ# | *#kˌũːŋnˈɛːʃcə# | *#kˌũːnːˈɛːʃc# | *#kˌũːnˈɛːʃc# | *#kunˈɛʃc# | *#kunˈɛʃc#
2      | #kˌoɡnˈoːskɑt# | *#kˌʊŋnˈoːskɑ# | *#kˌuŋnˈøskɑ# | *#kˌuŋnˈøska# | *#kˌũːŋnˈœʃka# | *#kˌũːŋnˈɛːʃka# | *#kˌũːnːˈɛːʃkə# | *#kˌũːnˈɛːʃkə# | *#kunˈɛʃkə# | *#kunˈɛʃkə#
3      | #kˌoɡnˈoːskeret# | *#kˌʊŋnˈoːskɛrɛ# | *#kˌuŋnˈøskɛrɛ# | *#kˌuŋnˈøscɪrɪ# | *#kˌũːŋnˈœʃcɪɾɪ# | *#kˌũːŋnˈɛːʃcəɾə# | *#kˌũːnːˈɛːʃcɾ̩# | *#kˌũːnˈɛːʃcɾ̩# | *#kunˈɛʃcɾ̩# | *#kunˈɛʃcəɾ#
4      | #ɡnˈoːskit# | *#ŋnˈoːskɪ# | *#ŋnˈøske# | *#əŋnˈøscɪ# | *#ə̃ŋnˈœʃcɪ# | *#ə̃ŋnˈɛːʃcə# | *#ə̃nːˈɛːʃc# | *#ə̃nˈɛːʃc# | *#nˈɛʃc# | *#nˈɛʃc#
5      | #ɡnˈoːsket# | *#ŋnˈoːskɛ# | *#ŋnˈøskɛ# | *#əŋnˈøscɪ# | *#ə̃ŋnˈœʃcɪ# | *#ə̃ŋnˈɛːʃcə# | *#ə̃nːˈɛːʃc# | *#ə̃nˈɛːʃc# | *#nˈɛʃc# | *#nˈɛʃc#
6      | #ɡnˈoːskɑt# | *#ŋnˈoːskɑ# | *#ŋnˈøskɑ# | *#əŋnˈøska# | *#ə̃ŋnˈœʃka# | *#ə̃ŋnˈɛːʃka# | *#ə̃nːˈɛːʃkə# | *#ə̃nˈɛːʃkə# | *#nˈɛʃkə# | *#nˈɛʃkə#
7      | #ɡnˈoːskeret# | *#ŋnˈoːskɛrɛ# | *#ŋnˈøskɛrɛ# | *#əŋnˈøscɪrɪ# | *#ə̃ŋnˈœʃcɪɾɪ# | *#ə̃ŋnˈɛːʃcəɾə# | *#ə̃nːˈɛːʃcɾ̩# | *#ə̃nˈɛːʃcɾ̩# | *#nˈɛʃcɾ̩# | *#nˈɛʃcəɾ#
8      | #kˌoɡnˈoːskitɑ# | *#kˌʊŋnˈoːskɪtɑ# | *#kˌuŋnˈøsktɑ# | *#kˌuŋnˈøsta# | *#kˌũːŋnˈœʃta# | *#kˌũːŋnˈɛːʃta# | *#kˌũːnːˈɛːʃtə# | *#kˌũːnˈɛːʃtə# | *#kunˈɛʃtə# | *#kunˈɛʃtə#
9      | #kˌoɡnˈoːsketɑ# | *#kˌʊŋnˈoːskɛtɑ# | *#kˌuŋnˈøsktɑ# | *#kˌuŋnˈøsta# | *#kˌũːŋnˈœʃta# | *#kˌũːŋnˈɛːʃta# | *#kˌũːnːˈɛːʃtə# | *#kˌũːnˈɛːʃtə# | *#kunˈɛʃtə# | *#kunˈɛʃtə#
