etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
14     | #ˌɑkkˈipitrem# | *#ˌɑkkˈipɪtrɛ# | *#ˌɑkkˈiptrɛ# | *#kcˈiptrɪ# | *#cˈiptɾɪ# | *#cˈiːftɾ# | *#cˈiːftɾ̩# {GOLD: >*} | *#cˈiːftɾ̩# {GOLD: >*} | *#cˈiftɾ̩# {GOLD: >*} | *#cˈiftəɾ# {GOLD: #cˈiftəɾ#}
15     | #ˌoksˈunɡiɑ# | *#ˌʊsˈʊnɡjɑ# | *#ˌusˈuɲjɑ# | *#ˌuːsˈuɲa# | *#ˌuʃˈũɲa# | *#ˌuʃˈũɲə# | *#ˌuʃˈũɲə# {GOLD: #aʃˈũɲə#} | *#ˌuʃˈũɲə# {GOLD: #uʃˈũɲə#} | *#ˌuʃˈuɲə# {GOLD: #uʃˈuɲə#} | *#uʃˈuɲə# {GOLD: #uʃˈuɲə#}
16     | #ˈɑlbɑnum# | *#ˈɑlbɑnʊ# | *#ˈɑlbɑnu# | *#ˈalbɑ̃ɾ̃u# | *#ˈalbɐɾ̃u# | *#ˈaːlbɐɾ̃# | *#ˈaːlbəɾ̃# {GOLD: #ˈaɾbə̃ɾ̃ə#} | *#ˈaːlbəɾ̃# {GOLD: >*} | *#ˈalbəɾ# {GOLD: >*} | *#ˈalbəɾ# {GOLD: #ˈaɾbəɾ#}
17     | #ˌɑlbɑːnˈensum# | *#ˌɑlbɑːnˈɛnsʊ# | *#ˌɑlbɑnˈɛsu# | *#əlbaɾ̃ˈɛsu# | *#əlbə̃ɾ̃ˈɛʃu# | *#əlbə̃ɾ̃ˈɛːʃ# | *#əlbə̃ɾ̃ˈɛːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#əlbəɾ̃ˈɛːʃ# {GOLD: >*} | *#əlbəɾˈɛʃ# {GOLD: >*} | *#əlbəɾˈɛʃ# {GOLD: #aɾbəɾˈɛʃ#}
18     | #ˈɑlium# | *#ˈɑʎʊ# | *#ˈɑʎu# | *#ˈaʎu# | *#ˈaʎu# | *#ˈaːʎ# | *#ˈaːʎ# {GOLD: >*} | *#ˈaːʎ# {GOLD: >*} | *#ˈaj# {GOLD: >*} | *#ˈaj# {GOLD: #ˈaj#}
19     | ... | ... | ... | *#llɪɡɔrˈia# | *#llɪɡɔːɾˈia# | *#lːəɡɔːɾˈiː# | *#lːəɡɾˈiː# {GOLD: #ləɡɔɾˈi#} | *#lːəɡɾˈiː# {GOLD: >*} | *#ləɡɾˈi# {GOLD: >*} | *#ləɡɾˈi# {GOLD: #lɔɡɔɾˈi#}
20     | ... | ... | *#ˌɑltˈɑre# | *#əltˈerɪ# | *#əltˈeɾɪ# | *#əltˈɛːɾ# | *#əltˈɛːɾ# {GOLD: #l̩tˈɛːɾ#} | *#əltˈɛːɾ# {GOLD: >*} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#} | *#əltˈɛɾ# {GOLD: #əltˈɛɾ#}
21     | #ˌɑmbipˌɑtˈiːnum# | *#ˌɑmbʊpˌɑtˈinʊ# | *#ˌɑmbupˌɑtˈinu# | *#əmbupˌatˈinu# | *#ə̃mbəpətˈĩnu# | *#ə̃mbəpətˈĩː# | *#ə̃mbətˈĩː# {GOLD: #mpətˈĩː#} | *#əmbətˈĩː# {GOLD: >*} | *#mətˈi# {GOLD: >*} | *#mətˈi# {GOLD: #mtˈi#}
22     | #ˌɑmbulˈɑːnioː# | *#ˌɑmbʊlˈɒːnju# | *#ˌɑmbulˈoɲu# | *#əmbulˈoɲu# | *#ə̃mbulˈɔ̃ɲu# | *#ə̃mbulˠˈɔ̃ɲ# | *#ə̃mbulˠˈɔ̃ɲ# {GOLD: #m̩bəlˠˈɔ̃ɲ#} | *#əmbulˠˈɔ̃ɲ# {GOLD: >*} | *#mbulˠˈɔɲ# {GOLD: >*} | *#mbulˠˈɔj# {GOLD: #mbalˠˈɔj#}
23     | #ˌɑmˈɑndolɑ# | *#ˌɑmˈɑndʊlɑ# | *#ˌɑmˈɑndulɑ# | *#mˈandula# | *#mˈãndula# | *#mˈãndulˠ# | *#mˈandulˠ# {GOLD: >*} | *#mˈandulˠ# {GOLD: >*} | *#mˈandulˠ# {GOLD: >*} | *#mˈandulˠ# {GOLD: #mˈɛndulˠ#}
