etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
51     | ... | ... | ... | ... | ... | ... | ... | *#kˈʊɾsɪ# | *#kˈɔːʷɾs# | *#kˈəɾs# {GOLD: >*} | *#kˈəɾt͡s# | *#kˈəɾt͡s# | *#kˈəɾt͡s# {GOLD: #kˈəɾt͡s#}
52     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈəɾpa# {GOLD: >*} | *#kˈəɾpə# | *#kˈəɾpə# | *#kˈəɾpə# {GOLD: #kˈəɾpə#}
53     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔsˈit# {GOLD: >*} | *#kˌɔsˈit# | *#kˌɔsˈit# | *#kɔsˈit# {GOLD: #kɔsˈit#}
54     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔsˈɔɾ# {GOLD: >*} | *#kˌɔsˈɔɾ# | *#kˌɔsˈɔɾ# | *#kɔsˈɔɾ# {GOLD: #kɔsˈɔɾɛ#}
55     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔðɾˈand# {GOLD: >*} | *#kˌɔðɾˈand# | *#kˌɔðɾˈand# | *#kɔðɾˈand# {GOLD: #kɔðɾˈand#}
56     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔnkˈɔl# {GOLD: >*} | *#kˌɔnkˈɔl# | *#kˌɔnkˈɔl# | *#kɔnkˈɔl# {GOLD: #kɔnkˈɔl#}
57     | ... | ... | ... | ... | ... | ... | ... | *#kˌɑlˈɛʃkɑ# | *#kˌɑlˈɛːʃkɑ# | *#kˌalˈɛːʃka# {GOLD: >*} | *#kˌalˈɛːʃkə# | *#kˌalˈɛʃkə# | *#kalˈɛʃkə# {GOLD: #kɔlˈɛʃkə#}
58     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔlˈiba# {GOLD: >*} | *#kˌɔlˈibə# | *#kˌɔlˈibə# | *#kɔlˈibə# {GOLD: #kɔlˈibɛ#}
59     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔɾˈit# {GOLD: >*} | *#kˌɔɾˈit# | *#kˌɔɾˈit# | *#kɔɾˈit# {GOLD: #kɔɾˈit#}
60     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔɾˈita# {GOLD: >*} | *#kˌɔɾˈitə# | *#kˌɔɾˈitə# | *#kɔɾˈitə# {GOLD: #kɔɾˈitə#}
61     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔɾˈuba# {GOLD: >*} | *#kˌɔɾˈubə# | *#kˌɔɾˈubə# | *#kɔɾˈubə# {GOLD: #kɔɾˈubə#}
62     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔpˈit͡sa# {GOLD: >*} | *#kˌɔpˈit͡sə# | *#kˌɔpˈit͡sə# | *#kɔpˈit͡sə# {GOLD: #kɔpˈit͡sə#}
63     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔpˈil# {GOLD: >*} | *#kˌɔpˈil# | *#kˌɔpˈil# | *#kɔpˈil# {GOLD: #kɔpˈil#}
64     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɒprˈɪ̃nəskɑ# | *#kˌɔpɾˈãnska# {GOLD: >*} | *#kˌɔpɾˈə̃nt͡skə# | *#kˌɔpɾˈənt͡skə# | *#kɔpɾˈənt͡skə# {GOLD: #kɔpɾˈənt͡skə#}
65     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌɔvˈat͡ʃ# {GOLD: >*} | *#kˌɔvˈat͡ʃ# | *#kˌɔvˈat͡ʃ# | *#kɔvˈat͡ʃ# {GOLD: #kɔvˈat͡ʃ#}
66     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔl# {GOLD: >*} | *#kˈɔl# | *#kˈɔl# | *#kˈɔl# {GOLD: #kˈɔlˠ#}
67     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔʃ# {GOLD: >*} | *#kˈɔʃ# | *#kˈɔʃ# | *#kˈɔʃ# {GOLD: #kˈɔʃ#}
68     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔst# {GOLD: >*} | *#kˈɔst# | *#kˈɔst# | *#kˈɔst# {GOLD: #kˈɔt͡s#}
69     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɒːzlət͡sɑ# | *#kˈɔːzl̩t͡sa# {GOLD: >*} | *#kˈɔːzl̩t͡sə# | *#kˈɔzl̩t͡sə# | *#kˈɔzəlt͡sə# {GOLD: #kˈɔt͡sə#}
70     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔtt͡sa# {GOLD: >*} | *#kˈɔt͡sə# | *#kˈɔt͡sə# | *#kˈɔt͡sə# {GOLD: #kˈɔt͡sə#}
71     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔs# {GOLD: >*} | *#kˈɔs# | *#kˈɔs# | *#kˈɔs# {GOLD: #kˈɔs#}
72     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔsa# {GOLD: >*} | *#kˈɔsə# | *#kˈɔsə# | *#kˈɔsə# {GOLD: #kˈɔsə#}
73     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔstɾ̩# {GOLD: >*} | *#kˈɔstɾ̩# | *#kˈɔstɾ̩# | *#kˈɔstəɾ# {GOLD: #kˈɔstəɾ#}
74     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔɾa# {GOLD: >*} | *#kˈɔɾə# | *#kˈɔɾə# | *#kˈɔɾə# {GOLD: #kˈɔɾə#}
75     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔɾt͡ʃa# {GOLD: >*} | *#kˈɔɾt͡ʃə# | *#kˈɔɾt͡ʃə# | *#kˈɔɾt͡ʃə# {GOLD: #kˈɔɾt͡ʃə#}
76     | ... | ... | ... | ... | ... | ... | ... | *#kˈɔɾðɑ# | *#kˈɔːɾðɑ# | *#kˈɔːɾða# {GOLD: >*} | *#kˈɔːɾðə# | *#kˈɔɾðə# | *#kˈɔɾðə# {GOLD: #kˈɔɾðə#}
77     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔpɾ̩# {GOLD: >*} | *#kˈɔpɾ̩# | *#kˈɔpɾ̩# | *#kˈɔpəɾ# {GOLD: #kˈɔpəɾ#}
78     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈɔb# {GOLD: >*} | *#kˈɔb# | *#kˈɔb# | *#kˈɔb# {GOLD: #kˈɔb#}
79     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌalˠpˈit# {GOLD: >*} | *#kˌalˠpˈit# | *#kˌalˠpˈit# | *#kalˠpˈit# {GOLD: #klˠapˈit#}
80     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˈalˠpa# {GOLD: >*} | *#kˈalˠpə# | *#kˈalˠpə# | *#kˈalˠpə# {GOLD: #klˠˈapə#}
