etID  | Proto-Tosk | Old North Tosk | Output {GOLD}
63     | #ɡˈɑjɪ# | *#ɡˈajɪ# | *#ɡˈajɪ# {GOLD: #ɡˈaj#}
64     | #ɡˈɑʎɑ# | *#ɡˈajə# | *#ɡˈajə# {GOLD: #ɡˈalə#}
65     | #ɡˌɒrdˈɛt͡s# | *#ɡˌɒrdˈɛt͡s# | *#ɡɒrdˈɛt͡s# {GOLD: #ɡəɾdˈɛt͡s#}
66     | #ɡrˌɑdˈɛt͡s# | *#ɡrˌadˈɛt͡s# | *#ɡradˈɛt͡s# {GOLD: #ɡəɾdˈɛt͡s#}
67     | #ɡˈərbɑ# | *#ɡˈərbə# | *#ɡˈərbə# {GOLD: #ɡˈəɾbə#}
68     | #ɡˌərdˈɑlˠɑ# | *#ɡərdˈalˠə# | *#ɡərdˈalˠə# {GOLD: #ɡəɾdˈalə#}
69     | #ɡˌərdˈitɪ# | *#ɡərdˈitɪ# | *#ɡərdˈitɪ# {GOLD: #ɡəɾdˈit#}
70     | #ɡˌəɾlˈit͡sɑ# | *#ɡəɾlˈit͡sə# | *#ɡəɾlˈit͡sə# {GOLD: #ɡəɾlˈit͡sə#}
71     | #ɡˈərt͡ʃə# | *#ɡˈərt͡ʃə# | *#ɡˈərt͡ʃə# {GOLD: #ɡˈəɾt͡ʃ#}
72     | #ɡˌɑlβˈinɑ# | *#ɡˌalvˈinə# | *#ɡalvˈinə# {GOLD: #ɡlˠavˈinə#}
73     | #ɡlˌɑβɪnˈit͡sɑ# | *#ɡlˌavənˈit͡sə# | *#ɡlavənˈit͡sə# {GOLD: #ɟanˈit͡sə#}
74     | #ɡlˌɒ̃bɒt͡ʃˈɑrɪ# | *#ɡlˌɒbɒt͡ʃˈarɪ# | *#ɡlɒbɒt͡ʃˈarɪ# {GOLD: #ɟəmbɔt͡ʃˈaɾ#}
75     | #ɡlˌɒ̃bɒt͡ʃˈɑrɪ# | *#ɡlˌɒbɒt͡ʃˈarɪ# | *#ɡlɒbɒt͡ʃˈarɪ# {GOLD: #ɟɔmbɔt͡ʃˈaɾ#}
76     | #ɡlˈɔbɑ# | *#ɡlˈɔbə# | *#ɡlˈɔbə# {GOLD: #ɟˈɔbə#}
77     | #ɡˌɔ̃bˈɛlɪ# | *#ɡˌɔbˈɛlɪ# | *#ɡɔbˈɛlɪ# {GOLD: #ɡɔmbˈɛl#}
78     | #ɡˌɔdˈitɪ# | *#ɡˌɔdˈitɪ# | *#ɡɔdˈitɪ# {GOLD: #ɡɔdˈit#}
79     | #ɡˌɔmˈilɑ# | *#ɡˌɔmˈilə# | *#ɡɔmˈilə# {GOLD: #ɡɔmˈilə#}
80     | #ɡˈɔrʃɪ# | *#ɡˈɔrʃɪ# | *#ɡˈɔrʃɪ# {GOLD: #ɡɾˈɔʃ#}
81     | #ɡˌɔstˈitɪ# | *#ɡˌɔstˈitɪ# | *#ɡɔstˈitɪ# {GOLD: #ɡɔstˈit#}
82     | #ɡrˌɑbˈitɪ# | *#ɡrˌabˈitɪ# | *#ɡrabˈitɪ# {GOLD: #ɡɾabˈit#}
83     | #ɡrˈɑdɑ# | *#ɡrˈadə# | *#ɡrˈadə# {GOLD: #ɡɾˈadə#}
84     | #ɡrˌɑdˈinɑ# | *#ɡrˌadˈinə# | *#ɡradˈinə# {GOLD: #ɡɾadˈinə#}
85     | #ɡrˌɑʃˈinɑ# | *#ɡrˌaʃˈinə# | *#ɡraʃˈinə# {GOLD: #ɡɾaʃˈinə#}
86     | #ɡrˈək# | *#ɡrˈək# | *#ɡrˈək# {GOLD: #ɡˈəɾk#}
87     | #ɡrˌəkˈɨɲɑ# | *#ɡrəkˈiɲə# | *#ɡrəcˈiɲə# {GOLD: #ɡəɾcˈiɲə#}
88     | #ɡrˌɛbˈɑʃɪ# | *#ɡrəbˈaʃɪ# | *#ɡrəbˈaʃɪ# {GOLD: #ɡɾɛbˈaʃ#}
89     | #ˈiβɑ# | *#ˈivə# | *#ˈivə# {GOLD: #ˈivə#}
90     | #jˌɑrˈinɑ# | *#jˌarˈinə# | *#jarˈinə# {GOLD: #jaɾˈinə#}
91     | #jˈɑrɪmə# | *#jˈarɪmə# | *#jˈarɪmə# {GOLD: #jˈaɾm#}
92     | #ʝˌɛzdˈitɪ# | *#ʝəzdˈitɪ# | *#ʝəzdˈitɪ# {GOLD: #ɟɛzdˈit#}
93     | #jˈɪskrɑ# | *#jˈɪskrə# | *#jˈɪskrə# {GOLD: #ˈiskəɾ#}
94     | #jˌɪzbɑβˈitɪ# | *#jəzbavˈitɪ# | *#jəzbavˈitɪ# {GOLD: #zbavˈit#}
95     | #jˈudə# | *#jˈudə# | *#jˈudə# {GOLD: #jˈud#}
96     | #jˈuɡə# | *#jˈuɡə# | *#jˈuɡə# {GOLD: #jˈuɡ#}
97     | #jˌunˈɑkə# | *#jˌunˈakə# | *#junˈakə# {GOLD: #unˈak#}
98     | #kˌɒt͡ʃˈubɑ# | *#kˌɒt͡ʃˈubə# | *#kɒt͡ʃˈubə# {GOLD: #kat͡ʃˈubə#}
