etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌajˈaːzmə# | *#ˌajˈaːzm̩# {GOLD: >*} | *#ˌajˈaːzm̩# | *#ˌajˈazm̩# | *#ajˈazəm# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌavlˠˈi# | *#ˌavlˠˈi# {GOLD: >*} | *#ˌavlˠˈi# | *#ˌavlˠˈi# | *#avlˠˈi# {GOLD: #avlˠˈi#}
2      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈaːlimə# | *#ˈaːlimə# {GOLD: >*} | *#ˈaːlim# | *#ˈalm# | *#ˈalm# {GOLD: #ˈaləm#}
3      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈamɛ# | *#ˈamɛ# {GOLD: >*} | *#ˈamɛ# | *#ˈamɛ# | *#ˈamɛ# {GOLD: #ˈamɛ#}
4      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌarsˈɛnɡə# | *#ˌaɾsˈɛŋɡə# {GOLD: >*} | *#ˌaɾsˈɛŋɡə# | *#ˌaɾsˈɛŋɡə# | *#aɾsˈɛŋɡə# {GOLD: #əɾsˈiŋɡə#}
5      | ... | ... | ... | ... | ... | *#ˈɑɡrion# | *#ˈeɡrɪon# | *#ˈeɡɾɪɔ̃n# | *#ˈɛɡɾə# | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# | *#ˈɛɡɾ̩# | *#ˈɛɡəɾ# {GOLD: #ˈɛɡəɾ#}
6      | ... | ... | ... | *#ˌɒːˈerɑ# | *#ˌɒˈɛrɑ# | *#ˌoˈɛrɑ# | *#ˌoːˈɛra# | *#ˌɔːˈɛɾa# | *#ˈɛːɾə# | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛːɾə# | *#ˈɛɾə# | *#ˈɛɾə# {GOLD: #ˈɛɾə#}
7      | ... | ... | ... | ... | ... | *#ˈɛxon# | *#ˈɛxon# | *#ˈɛːxɔ̃n# | *#jˈɛx# | *#jˈɛx# {GOLD: >*} | *#jˈɛh# | *#jˈɛh# | *#jˈɛh# {GOLD: #jˈɛh#}
8      | ... | ... | ... | *#ˈɛːrəmon# | *#ˈɛːrəmɔ# | *#ˈɛrəmo# | *#ˈɛrəmo# | *#ˈɛːɾmɔ# | *#jˈɛɾm# | *#jˈɛɾm# {GOLD: #jˈɛɾəm#} | *#jˈɛɾm# | *#jˈɛɾm# | *#jˈɛɾm# {GOLD: #jˈɛɾm#}
9      | ... | ... | ... | ... | ... | *#jˌod͡zˈɛfo# | *#jˌod͡zˈɛfo# | *#jˌɔzˈɛfɔ# | *#jˌɔzˈɛːf# | *#jˌɔzˈɛːf# {GOLD: >*} | *#jˌɔzˈɛːf# | *#jˌɔzˈɛf# | *#jɔzˈɛf# {GOLD: #jɔzˈɛf#}
