etID  | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
10     | #skˈɑmnɔn# | *#skˈɑmnon# | *#skˈamnon# | *#ʃkˈamnɔn# | *#ʃkˈãm# | *#ʃkˈãm# | *#ʃkˈə̃m# | *#ʃkˈəm# | *#ʃkˈəm# {GOLD: #ʃkˈam#}
11     | #skˈɑmni# | *#skˈɑmni# | *#zɡˈemnɪ# | *#zɡˈemnɪ# | *#zɟˈɛ̃m# | *#zɟˈɛ̃m# | *#zɟˈɛ̃m# | *#zɟˈɛm# | *#zɟˈɛm# {GOLD: #ʃcˈɛm#}
12     | #stˈɛfɑnɔn# | *#stˈɛfɑnon# | *#stˈɛfãɾ̃on# | *#ʃtˈɛfãɾ̃ɔn# | *#ʃtˈɛːfãɾ̃# | *#ʃtˈɛːfãɾ̃# | *#ʃtˈɛːfə̃ɾ# | *#ʃtˈɛfəɾ# | *#ʃtˈɛfəɾ# {GOLD: #cˈɛfəɾ#}
13     | #stˈylɑ# | *#stˈylˠɑ# | *#stˈylˠa# | *#ʃtˈylˠa# | *#ʃtˈyːlˠə# | *#ʃtˈyːlˠə# | *#ʃtˈyːlˠə# | *#ʃtˈylˠə# | *#ʃtˈylˠə# {GOLD: #ʃtˈylˠə#}
14     | #tˌɛtrˈɑnɡuːrɔn# | *#tˌɛtrˈɑnɡyron# | *#tˌɛtrˈanɡʏron# | *#tˌɛtrˈanɡʏrɔn# | *#tətrˈãɲɟʏr# | *#tətɾˈãɲɟɾ̩# | *#tətɾˈə̃ɲɟɾ̩# | *#tətɾˈəɲɟɾ̩# | *#tətɾˈəɲɟəɾ# {GOLD: #tɾˈaŋɡˈulˠ#}
15     | #θˈɑmnɔn# | *#θˈɑmnon# | *#θˈamnon# | *#θˈamnɔn# | *#θˈãm# | *#θˈãm# | *#θˈə̃m# | *#θˈəm# | *#θˈəm# {GOLD: #θˈanə#}
16     | ... | ... | ... | ... | *#ˌarsˈɛ̃ɾ̃ik# | *#ˌaɾsˈɛ̃ɾ̃ik# | *#ˌaɾsˈɛ̃ɾik# | *#ˌaɾsˈɛɾik# | *#aɾsˈɛɾik# {GOLD: #əɾsˈiŋɡə#}
17     | ... | ... | ... | ... | *#kˌalˈuɟər# | *#kˌalˠˈuɟɾ̩# | *#kˌalˠˈuɟɾ̩# | *#kˌalˠˈuɟɾ̩# | *#kalˠˈuɟəɾ# {GOLD: #klˠˈɔɟəɾ#}
18     | ... | ... | ... | ... | *#kətˈuo̯# | *#kətˈuo̯# | *#kətˈua̯# | *#kətˈua̯# | *#kətˈua̯# {GOLD: #katˈua̯#}
19     | ... | ... | ... | ... | *#kˈaːfk# | *#kˈaːfk# | *#kˈaːfk# | *#kˈafk# | *#kˈafk# {GOLD: #kˈafkə#}
20     | ... | ... | ... | ... | *#rˈaːs# | *#ɾˈaːs# | *#ɾˈaːs# | *#ɾˈas# | *#ɾˈas# {GOLD: #ɾˈasə#}
21     | ... | ... | ... | ... | *#rˈiː# | *#ɾˈiː# | *#ɾˈiː# | *#ɾˈi# | *#ɾˈi# {GOLD: #ɾˈiɡə#}
22     | ... | ... | ... | ... | *#rˈicɛ# | *#ɾˈicɛ# | *#ɾˈicɛ# | *#ɾˈicɛ# | *#ɾˈicɛ# {GOLD: #ɾˈicɛ#}
23     | ... | ... | ... | ... | *#rˈɔːz# | *#ɾˈɔːz# | *#ɾˈɔːz# | *#ɾˈɔz# | *#ɾˈɔz# {GOLD: #ɾˈɔzə#}
24     | ... | ... | ... | ... | *#rˈuːss# | *#ɾˈuːss# | *#ɾˈuːss# | *#ɾˈuss# | *#ɾˈuss# {GOLD: #ɾˈus#}
25     | ... | ... | ... | ... | *#sˌĩːmːəxˈuo̯r# | *#sˌĩːmːəxˈuo̯ɾ# | *#sˌĩːməhˈua̯ɾ# | *#sˌiməhˈua̯ɾ# | *#siməhˈua̯ɾ# {GOLD: #simahˈua̯ɾ#}
26     | ... | ... | ... | ... | *#sxˈĩmə# | *#sxˈĩmə# | *#shˈĩmə# | *#shˈimə# | *#shˈimə# {GOLD: #scˈimə#}
27     | ... | ... | ... | ... | *#vəlˈɛ̃t͡sə# | *#vəlˈɛ̃t͡sə# | *#vəlˈɛ̃t͡sə# | *#vəlˈɛt͡sə# | *#vəlˈɛt͡sə# {GOLD: #vɛlˈɛnd͡zə#}
