etID  | Antique Proto-Albanian | Middle Proto-Albanian | Late Proto-Albanian |  Proto-Tosk |  Old Northern Tosk Albanian | Output {GOLD}
0      | #ˌɑbˌerrˈɑːnioː# | *#ˌɑˌerːˈɑːɲoː# | *#hˌɛrːˈãːɲ# | *#hˌɛrˈəːɲ# | *#hərˈəɲ# | *#hərˈəɲ# {GOLD: #harˈɔj#}
1      | #ˌɑbiˈeːɡnus# | *#ˌɑbjˈeːɲu# | *#bjˈɛ̃ːɲ# | *#bjˈɛ̃ːɲ# | *#bjˈɛɲ# | *#bjˈɛɲ# {GOLD: #vɟˈɛ#}
2      | #ˌɑbiˈeːɡneɑ# | *#ˌɑbjˈeːɲɑ# | *#bjˈɛ̃ːɲə# | *#bjˈɛ̃ːɲə# | *#bjˈɛɲə# | *#bjˈɛɲə# {GOLD: #vɟˈɛɲə#}
3      | #ˌɑblˌewˈɑːnioː# | *#ˌɑblˌeˈɑːɲoː# | *#blˈãːɲ# | *#blˈəːɲ# | *#blˈəɲ# | *#blˈəɲ# {GOLD: #blˈɛj#}
4      | #ˌɑdiˌuːnˈɑːnioː# | *#ˌɑdjˌuːnˈɑːɲoː# | *#?ə̃nˈãːɲ# | *#?ə̃ɾˈəːɲ# | *#?əɾˈəɲ# | *#?əɾˈəɲ# {GOLD: #aɟəɾˈɔj#}
5      | #ˌɑdˌoːrˈɑːnioː# | *#ˌɑdˌoːrˈɑːɲoː# | *#hˌɛrˈãːɲ# | *#hˌɛɾˈəːɲ# | *#həɾˈəɲ# | *#həɾˈəɲ# {GOLD: #aðuɾˈɔj#}
6      | #ˈɑːeːr# | *#ˈɑːər# | *#hˈaːr# | *#hˈaːɾ# | *#hˈaɾ# | *#hˈaɾ# {GOLD: #ˈɛɾə#}
7      | #ˈɑːeːr# | *#ˈɑːər# | *#hˈaːr# | *#hˈaːɾ# | *#hˈaɾ# | *#hˈaɾ# {GOLD: #ˈajəɾ#}
8      | #ˌae̯rˈɑːmen# | *#ˌɛrˈɑːmən# | *#rˈãːmn# | *#ɾˈəːmn# | *#ɾˈəmn# | *#ɾˈəmn# {GOLD: #rˈɛmb#}
9      | #ˌae̯stimˈɑːnioː# | *#ˌɛstimˈɑːɲoː# | *#ʃtə̃mˈãːɲ# | *#ʃtə̃mˈəːɲ# | *#ʃtəmˈəɲ# | *#t͡ʃtəmˈəɲ# {GOLD: #t͡ʃmˈɔj#}
10     | #ˈae̯tɑːtem# | *#ˈɛtətəm# | *#jˈɛtt# | *#jˈɛtt# | *#jˈɛtt# | *#jˈɛtt# {GOLD: #jˈɛtə#}
11     | #ˌɑːkˈinɡulum# | *#ˌɑːkˈinɡəlːəm# | *#cˈɛ̃ːnɡlː# | *#cˈɛ̃ːnɡlˠ# | *#cˈɛnɡlˠ# | *#cˈɛnɡlˠ# {GOLD: #cˈɛɲɟ#}
12     | #ˌɑkkˈipitum# | *#ˌɑkkˈipətəm# | *#kcˈɛːft# | *#kcˈɛːft# | *#kcˈɛft# | *#kcˈɛft# {GOLD: #cˈift#}
13     | #ˌɑkkˈipitrem# | *#ˌɑkkˈipətrəm# | *#kcˈɛːftr# | *#kcˈɛːftɾ# | *#kcˈɛftɾ# | *#kcˈɛftɾ# {GOLD: #cˈiftəɾ#}
14     | #ˌɑksˈunɡiɑ# | *#ˌɑksˈuɲjɑ# | *#fʃˈỹːɲɛ# | *#fʃˈỹːɲɛ# | *#fʃˈyɲɛ# | *#fʃˈyɲɛ# {GOLD: #uʃˈuɲə#}
15     | #ˈɑlbɑnum# | *#ˈɑlbənəm# | *#hˈaːlbn# | *#hˈaːlbn# | *#hˈalbn# | *#hˈalbn# {GOLD: #ˈaɾbəɾ#}
16     | #ˌɑlbɑːnˈensis# | *#ˌɑlbɑːnˈeːsi# | *#həlbə̃nˈiːʃ# | *#həlbə̃ɾˈiːʃ# | *#həlbəɾˈiʃ# | *#həlbəɾˈiʃ# {GOLD: #aɾbəɾˈɛʃ#}
17     | #ˈɑlium# | *#ˈɑʎəm# | *#hˈɛːʎ# | *#hˈɛːʎ# | *#hˈɛj# | *#hˈɛj# {GOLD: #ˈaj#}
18     | #ˌɑllˌeːɡorˈiːɑ# | *#ˌɑlˌeːɡorˈiːɑ# | *#lɡərˈiː# | *#lɡəɾˈiː# | *#lɡəɾˈi# | *#lɡəɾˈi# {GOLD: #lɔɡɔɾˈi#}
