etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | *#hˈɑkson# | *#hˈɑksɔ# | *#hˈɑkso# | *#hˈakso# | *#hˈakʃɔ# | *#hˈaːfʃ# | *#hˈaːfʃ# | *#hˈaːfʃ# | *#hˈafʃ# | *#hˈafʃ# {GOLD: #hˈah#}
1      | ... | ... | ... | *#drˈɑniːn# | *#drˈɑni# | *#drˈɑni# | *#drˈenɪ# | *#dɾˈẽɾ̃ɪ# | *#dɾˈɛ̃ː# | *#dɾˈɛ̃ː# | *#dɾˈɛ̃ː# | *#dɾˈɛ# | *#dɾˈɛ# {GOLD: #dɾˈɛ#}
2      | ... | ... | ... | *#hˌɑjd͡zˈiːjɑː# | *#hˌɑjðˈijɑː# | *#hˌɑjðˈijɑ# | *#ðˈija# | *#ðˈija# | *#ðˈijə# | *#ðˈijə# | *#ðˈijə# | *#ðˈijə# | *#ðˈijə# {GOLD: #ðˈi#}
3      | ... | ... | ... | *#kˌɑstˈɑ# | *#kˌɑstˈɑ# | *#kˌɑstˈɑ# | *#kˌastˈa# | *#kˌaʃtˈa# | *#kɐʃtˈa# | *#kəʃtˈa# | *#ɡəʃtˈa# | *#ɡəʃtˈa# | *#ɡəʃtˈa# {GOLD: #kˈaʃtə#}
